"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","107","100 Wilmington Avenue, Bathurst Manor, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1744,1334,2279
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","108","400 Rimilton Avenue, Alderwood, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1172,821,1671
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","109","1200 Brimley Road, Bendale, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1468,1086,1982
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","110","0 Genthorn Avenue, Rexdale, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1948,1456,2604
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","111","100 Garratt Boulevard, Downsview, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1715,1278,2300
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","112","0 Raymond Avenue, Lambton Baby Point, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1194,809,1761
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",218,104,455
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","114","0 Secroft Crescent, Black Creek, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1955,1518,2517
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","115","200 Princess Avenue, Willowdale, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1517,1145,2009
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","116","0 Silverstone Drive, Rexdale, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2367,1805,3102
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","117","300 Passmore Avenue, Armdale, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",2085,1551,2802
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","118","Yen Lane, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",409,255,654
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","119","0 Forman Avenue, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",815,581,1141
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","120","0 Belsize Drive, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",850,612,1180
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","121","0 Wallasey Avenue, Humberlea, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1834,1351,2488
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","122","0 Playter Boulevard, The Danforth, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",579,415,807
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","123","0 Callowhill Drive, Richview, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1537,1114,2119
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","124","0 Tally Lane, Bayview Village, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1350,1002,1817
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","125","300 Brooke Avenue, Nortown, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1300,946,1785
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","126","0 Goodview Road, Don Valley Village, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1335,949,1876
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","127","400 Rockcliffe Boulevard, Rockcliffe - Smythe, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1464,1066,2008
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","128","200 Queen Street East, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",335,213,525
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","129","0 Braemore Gardens, Midtown Toronto, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",828,579,1183
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","130","400 Lawrence Avenue East, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1302,967,1752
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","131","0 Macdonald Avenue, Weston, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1806,1351,2412
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","132","100 Gladstone Avenue, Little Portugal, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",861,623,1188
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","133","0 Ash Crescent, Long Branch, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1565,1096,2233
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","134","100 Wedgewood Drive, Newtonbrook, North York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1866,1407,2473
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","135","100 Mammoth Hall Trail, Malvern, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1746,1301,2341
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","136","200 Mill Road, Markland Wood, Etobicoke, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1278,902,1810
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","137","0 Treerun Avenue, Milliken, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1696,1270,2263
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","138","0 Livonia Place, Morningside, Scarborough, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1545,1197,1993
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","139","0 Rolph Road, Leaside, East York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",868,606,1242
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","140","900 York Beltline Trail, Briar Hill - Belgravia, York, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",1385,1037,1849
"113","Saint Basil Lane, Bay Cloverhill, Old Toronto, Toronto","141","Water's Edge Promenade, Downtown, Old Toronto, Toronto","2020-3-1 - 2020-3-31, Every day, Daily Average",326,150,707
