sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
141,53,09,1060.48,378.35,1000.6,1.4
140,63,09,1091.64,306.14,1053.31,1.3
30,36,09,1655.49,451.04,1601.3,1.29
31,26,09,1940.76,470.59,1885.92,1.27
32,16,09,2141.7,545.06,2092.41,1.22
21,7,07,648.46,177.8,628.16,1.28
17,135,09,1096.14,340.23,1058.85,1.28
18,125,09,417.64,182.81,385.9,1.49
19,115,09,1661.89,518.53,1593.25,1.33
46,4,07,559.87,254.68,509.18,1.57
62,31,07,1480.53,325.84,1449.36,1.22
64,11,07,1091.19,342.27,1047.77,1.32
60,51,07,2464.79,852.38,2338.12,1.37
33,27,08,1447.54,372.93,1405.37,1.27
61,41,07,2455.47,483.35,2407.29,1.22
32,37,08,1410.37,379.16,1363.9,1.29
34,17,08,827.76,254.49,795.02,1.32
30,57,08,1280.25,375.22,1238.62,1.28
25,28,08,1203.22,530.24,1107.07,1.49
22,58,08,1373.91,604.4,1270.47,1.46
31,47,08,788.02,315.5,736.51,1.46
21,68,08,2269.58,592.62,2199.11,1.28
60,11,07,2125.21,710.39,2016.15,1.38
23,48,08,1293.45,324.29,1258.52,1.26
20,78,08,543.56,191.05,518.8,1.34
24,38,08,792.33,258.87,758.76,1.33
56,65,07,1248.51,535.52,1165.55,1.42
58,45,07,509.43,262.11,464.34,1.5
123,103,07,1617.92,292.4,1591.95,1.2
40,17,07,896.58,266.83,862.13,1.32
121,123,07,289.03,181.2,253.23,1.62
54,85,07,1569.06,459.69,1511.19,1.31
64,76,08,1085.15,294.8,1051.4,1.28
62,96,08,1440.32,347.68,1401.95,1.26
59,35,07,1536.22,403.2,1492.39,1.26
60,40,09,2220.95,728.06,2123.93,1.34
122,113,07,585.06,278.22,540.16,1.46
61,30,09,1585.6,384.99,1545.76,1.25
57,55,07,1012.64,399.75,937.14,1.49
120,133,07,2444.0,563.08,2381.58,1.25
69,26,08,1166.92,321.42,1127.23,1.3
26,18,08,231.71,104.67,212.93,1.53
29,124,08,1213.76,303.27,1179.29,1.27
53,95,07,1438.82,440.01,1374.53,1.35
5,4,07,850.18,468.86,754.35,1.61
100,17,08,680.71,190.72,656.96,1.3
62,20,09,995.71,262.79,962.76,1.3
109,81,09,487.59,296.18,417.53,1.74
108,91,09,756.46,231.46,727.0,1.31
28,134,08,912.12,276.22,877.23,1.32
123,1,09,870.78,323.62,833.25,1.32
74,126,07,267.53,147.72,232.12,1.75
73,136,07,428.92,223.28,393.62,1.47
75,116,07,2822.39,1408.75,2570.74,1.5
76,106,07,1331.05,344.37,1289.56,1.28
74,139,07,1175.63,386.31,1119.85,1.36
75,129,07,1467.45,470.36,1405.58,1.33
55,75,07,1570.28,556.51,1487.91,1.38
50,104,07,811.77,224.97,786.04,1.28
76,119,07,1492.4,390.15,1445.82,1.28
101,131,09,1326.86,594.97,1227.68,1.46
103,111,09,1602.99,495.64,1540.3,1.31
100,141,09,733.35,329.2,662.37,1.59
77,109,07,820.19,320.57,766.89,1.43
102,121,09,1105.17,444.75,1038.8,1.4
27,135,07,1555.37,391.33,1512.97,1.26
28,125,07,355.94,175.99,329.52,1.43
104,101,09,513.86,232.96,469.65,1.53
29,115,07,1415.29,425.42,1360.03,1.32
128,85,07,1096.65,448.04,1021.08,1.45
127,95,07,572.9,209.32,540.35,1.4
120,71,08,925.24,240.34,897.83,1.27
129,75,07,1574.64,487.03,1511.88,1.32
122,51,08,2071.88,387.66,2033.32,1.22
67,46,08,1060.48,282.88,1029.27,1.27
121,61,08,1517.11,378.13,1477.82,1.25
140,55,09,318.74,184.25,259.24,2.04
141,45,09,1599.36,429.31,1546.46,1.3
123,41,08,1577.16,365.49,1539.77,1.24
125,21,08,1479.9,395.19,1436.05,1.27
66,56,08,1368.31,491.23,1292.18,1.39
35,90,08,1867.2,755.44,1771.39,1.35
37,70,08,2132.67,678.74,2024.07,1.38
124,31,08,1216.86,467.46,1143.06,1.41
40,42,07,245.72,172.34,187.28,2.35
41,32,07,300.65,185.39,244.17,2.04
43,12,07,794.55,273.46,752.38,1.4
39,50,08,1399.78,378.39,1358.53,1.26
42,22,07,695.0,231.57,670.34,1.28
63,86,08,2251.57,665.29,2152.06,1.36
38,60,08,368.0,138.88,348.33,1.38
24,9,09,1153.64,386.95,1100.75,1.34
126,11,08,1246.62,515.77,1162.47,1.44
36,80,08,1845.89,458.47,1794.02,1.27
68,36,08,897.94,323.37,851.61,1.37
130,60,07,1277.62,346.74,1236.48,1.28
133,30,07,1785.11,635.69,1684.62,1.4
134,20,07,2293.41,532.81,2236.96,1.25
132,40,07,1117.93,297.11,1083.41,1.28
65,66,08,1322.65,384.21,1279.57,1.28
135,10,07,581.51,236.65,542.29,1.45
123,25,09,1289.91,400.83,1240.05,1.31
124,15,09,1426.5,398.15,1380.25,1.28
120,55,09,672.04,194.92,647.13,1.31
122,35,09,1419.11,387.17,1369.14,1.31
121,45,09,286.58,165.63,260.01,1.5
96,3,09,1278.41,338.41,1237.93,1.28
131,13,07,750.6,273.36,714.01,1.36
130,23,07,1684.39,426.38,1641.77,1.25
98,125,07,1080.18,438.69,1008.42,1.43
97,135,07,234.23,197.62,188.15,1.89
99,115,07,1415.9,426.78,1359.53,1.32
15,4,08,1593.76,542.11,1515.57,1.36
138,74,09,1400.36,896.72,1265.73,1.48
136,94,09,1188.02,429.94,1119.45,1.41
139,64,09,782.96,237.94,752.77,1.32
29,90,09,1100.11,281.05,1068.92,1.26
42,10,07,1287.02,316.97,1261.87,1.2
41,20,07,630.69,245.38,588.16,1.46
40,30,07,1944.49,421.78,1899.82,1.24
140,20,09,1291.66,305.34,1257.73,1.26
141,10,09,1811.15,448.88,1763.25,1.25
122,107,07,1429.83,525.17,1351.2,1.38
121,117,07,1442.06,332.39,1410.91,1.22
120,127,07,1589.77,352.85,1552.07,1.24
15,123,09,2467.44,938.25,2331.75,1.38
16,113,09,2045.95,626.32,1957.7,1.34
17,103,09,1363.19,356.15,1318.43,1.29
140,136,09,1381.76,349.03,1341.06,1.27
58,85,09,1380.99,403.73,1329.29,1.31
59,75,09,200.99,161.31,167.31,1.71
141,126,09,1255.47,478.96,1179.5,1.42
57,95,09,1672.96,509.33,1603.26,1.33
72,5,09,1860.64,452.46,1808.79,1.27
11,136,09,321.38,163.68,298.04,1.43
12,126,09,1043.69,406.83,980.86,1.4
87,114,08,1629.76,392.14,1587.46,1.25
14,106,09,810.25,370.26,748.16,1.46
84,52,09,669.68,301.34,630.9,1.39
80,92,09,1948.16,507.22,1888.35,1.28
63,44,09,1284.74,349.88,1243.66,1.28
83,62,09,189.0,109.81,162.87,1.79
66,14,09,1035.42,388.76,983.56,1.36
87,22,09,1533.51,483.13,1469.24,1.33
88,104,08,388.37,182.07,343.64,1.75
82,72,09,1464.75,404.42,1414.47,1.3
13,116,09,751.77,250.46,717.41,1.35
60,74,09,1567.04,444.01,1513.56,1.29
109,136,09,1571.16,482.77,1499.68,1.36
