sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
36,127,03,1356.33,398.02,1290.77,1.42
44,74,03,792.94,252.39,757.41,1.35
49,24,03,260.4,228.61,205.16,1.97
12,93,03,1063.41,448.57,989.2,1.45
47,44,03,1045.49,525.95,955.91,1.49
92,117,02,1430.58,391.76,1385.63,1.28
93,107,02,1953.68,524.8,1891.18,1.28
48,34,03,1529.8,633.2,1414.85,1.48
141,74,02,1860.77,656.52,1763.89,1.37
140,84,02,804.77,254.73,767.78,1.38
42,94,03,331.37,147.13,306.81,1.47
60,119,03,1282.45,362.44,1240.28,1.29
91,127,02,257.39,141.93,220.67,1.83
45,64,03,604.44,242.78,564.09,1.44
107,131,02,1083.15,338.03,1035.29,1.35
106,141,02,1596.29,571.11,1511.85,1.38
14,117,01,1071.34,359.41,1021.26,1.35
13,127,01,703.43,272.59,660.64,1.41
61,109,03,407.89,200.9,368.52,1.58
46,54,03,1894.5,663.17,1787.66,1.4
108,121,02,825.36,356.62,770.58,1.43
79,140,03,1236.87,298.88,1203.63,1.26
12,137,01,1606.52,640.87,1502.11,1.42
90,137,02,734.83,260.41,697.13,1.37
109,111,02,1144.84,489.21,1062.42,1.45
53,75,01,451.7,279.2,382.02,1.79
98,115,03,1018.51,352.89,965.96,1.38
99,105,03,1939.99,516.56,1883.88,1.26
97,125,03,941.65,408.23,877.95,1.44
109,75,01,918.06,382.63,848.78,1.48
122,5,01,158.52,139.48,124.67,1.87
65,83,01,1769.68,487.28,1705.68,1.31
69,43,01,139.4,91.07,110.85,2.15
64,93,01,1143.3,357.28,1093.07,1.35
108,85,01,820.91,268.3,784.71,1.34
66,73,01,765.63,332.95,713.34,1.43
2,65,03,690.92,262.92,647.4,1.45
7,15,03,250.17,152.13,199.2,2.24
67,63,01,866.76,244.48,835.45,1.31
6,25,03,423.56,237.17,375.14,1.6
107,95,01,1938.0,501.5,1877.43,1.28
1,75,03,1364.5,484.57,1299.5,1.35
4,45,03,1402.96,538.53,1331.76,1.36
28,137,02,1229.32,465.04,1165.89,1.36
107,1,01,241.28,143.38,194.17,2.17
5,35,03,1391.49,473.37,1320.8,1.37
36,1,03,664.26,248.92,623.43,1.43
62,83,03,209.24,121.83,181.25,1.77
67,33,03,655.68,230.68,620.31,1.4
65,53,03,582.88,223.05,548.14,1.42
61,93,03,1849.54,555.75,1775.5,1.32
104,122,02,1382.16,561.03,1286.63,1.45
106,102,02,956.92,418.02,888.77,1.44
105,112,02,1206.81,319.93,1167.41,1.29
66,43,03,1686.17,325.33,1654.97,1.21
64,63,03,1674.7,479.6,1612.23,1.31
15,2,01,472.53,222.28,409.65,1.86
68,23,03,2026.0,634.2,1935.15,1.35
63,73,03,413.01,173.57,382.28,1.49
69,13,03,1757.77,637.99,1661.38,1.39
13,130,02,1464.77,588.96,1361.26,1.46
12,140,02,1386.31,355.46,1345.07,1.28
14,120,02,972.35,273.57,938.92,1.3
16,100,02,1589.26,675.0,1485.03,1.41
125,73,02,732.13,345.64,662.85,1.56
35,48,01,1836.86,447.18,1788.32,1.26
34,58,01,1265.43,447.32,1197.02,1.39
128,43,02,681.9,212.12,653.57,1.33
38,18,01,1280.29,295.61,1247.95,1.25
123,93,02,1323.47,507.14,1244.01,1.41
30,98,01,1910.44,689.58,1813.08,1.36
34,119,03,998.77,277.64,962.98,1.31
33,129,03,218.58,153.87,164.6,2.4
124,83,02,1248.37,406.37,1188.46,1.36
31,88,01,1731.67,716.93,1623.42,1.41
35,109,03,1983.65,684.56,1887.38,1.35
127,53,02,2288.81,542.62,2229.34,1.25
33,68,01,1428.94,383.03,1383.04,1.29
64,115,03,944.21,345.43,894.3,1.37
62,135,03,1798.11,436.28,1750.74,1.25
81,28,03,660.35,294.14,616.6,1.41
82,18,03,588.17,226.77,552.28,1.41
107,85,01,1997.85,472.77,1943.08,1.27
80,38,03,1788.6,750.22,1661.36,1.45
63,125,03,1186.31,395.71,1131.54,1.35
109,65,01,1192.64,480.35,1110.08,1.45
106,95,01,1642.93,469.69,1580.86,1.32
36,38,01,1605.97,483.97,1548.93,1.29
98,20,02,2518.89,686.71,2430.61,1.3
33,104,03,1991.8,624.46,1904.04,1.36
121,5,01,1624.64,758.81,1507.14,1.44
93,70,02,1394.44,558.65,1300.11,1.44
97,30,02,1826.88,736.52,1718.3,1.39
19,99,03,1758.1,549.73,1685.0,1.33
34,9,03,1377.51,352.12,1337.1,1.27
65,105,03,1688.34,783.31,1562.54,1.44
6,60,02,1462.57,757.8,1378.0,1.35
7,50,02,486.18,204.46,454.29,1.43
5,70,02,822.88,402.06,748.46,1.52
32,139,03,1389.08,410.03,1336.31,1.31
30,134,03,1814.72,583.12,1734.49,1.34
4,80,02,500.89,239.87,459.5,1.5
32,131,02,1707.91,403.28,1662.96,1.26
34,111,02,798.84,307.1,749.98,1.42
9,30,02,960.4,351.22,902.61,1.43
33,121,02,1305.06,453.64,1251.99,1.32
35,101,02,1807.81,543.6,1737.05,1.32
129,33,02,228.9,147.35,179.5,2.29
32,78,01,621.32,251.94,575.55,1.48
31,141,02,1074.4,435.01,1005.0,1.42
3,90,02,936.3,312.96,897.05,1.33
81,131,02,1053.8,395.49,997.47,1.37
84,101,02,1783.61,647.8,1683.67,1.39
83,111,02,864.26,276.74,826.46,1.34
68,32,02,2408.35,634.8,2329.75,1.29
64,72,02,1154.4,431.43,1093.24,1.38
80,141,02,1204.5,420.6,1135.65,1.41
66,52,02,1128.06,300.56,1091.5,1.29
69,22,02,1350.58,490.75,1272.1,1.4
32,114,03,1904.8,524.97,1844.1,1.28
63,82,02,1967.64,470.16,1911.5,1.28
82,121,02,1579.59,486.77,1518.85,1.31
37,28,01,1375.99,416.5,1321.1,1.32
62,92,02,1640.02,475.72,1577.44,1.32
95,126,01,1864.99,679.66,1755.24,1.41
94,136,01,1233.03,452.54,1167.52,1.37
85,47,02,1644.08,585.41,1557.96,1.38
88,17,02,1061.96,400.57,1001.59,1.39
81,87,02,1697.6,574.13,1610.31,1.38
126,63,02,1730.06,520.13,1662.07,1.32
86,37,02,1751.25,418.63,1703.98,1.26
53,5,02,782.6,263.21,744.09,1.37
39,85,02,1724.07,395.61,1682.09,1.25
92,80,02,2091.37,401.46,2053.38,1.21
82,77,02,799.1,299.93,759.71,1.35
44,16,01,1330.82,799.64,1219.06,1.45
40,56,01,1137.8,339.32,1092.04,1.33
43,26,01,1294.52,358.02,1248.5,1.31
67,42,02,546.17,203.5,514.65,1.4
38,95,02,1594.2,563.44,1490.63,1.52
42,36,01,726.65,279.6,686.05,1.38
87,27,02,1030.81,355.78,976.9,1.38
41,46,01,830.72,269.11,794.05,1.34
67,6,01,1653.11,722.6,1565.39,1.34
97,106,01,1009.41,449.48,952.79,1.37
108,75,01,1664.63,727.54,1530.97,1.49
3,12,03,1829.28,434.71,1783.74,1.25
1,32,03,1814.85,529.05,1745.93,1.32
104,6,02,990.19,303.42,955.71,1.29
2,22,03,1468.33,486.54,1400.48,1.35
11,9,03,1288.88,405.42,1239.49,1.3
91,90,02,1888.19,711.08,1776.18,1.4
65,62,02,1415.06,454.01,1349.78,1.35
83,67,02,223.87,133.29,190.61,1.82
84,57,02,1273.36,486.49,1196.54,1.41
99,10,02,1074.44,210.54,1055.4,1.21
119,108,03,1668.73,571.05,1586.53,1.36
117,128,03,1883.25,660.2,1786.7,1.37
37,114,03,1479.7,361.88,1439.58,1.26
36,124,03,545.76,207.1,512.28,1.43
38,104,03,1431.13,401.35,1374.59,1.33
52,2,01,1541.71,538.06,1467.91,1.35
39,72,01,1148.78,358.1,1098.49,1.34
38,82,01,1191.77,362.29,1144.24,1.32
118,118,03,156.07,262.64,94.28,2.44
31,124,03,1382.68,677.61,1270.78,1.47
20,10,03,2388.74,589.79,2318.28,1.28
94,60,02,2561.37,1007.72,2398.66,1.42
40,24,01,1103.57,523.62,1019.61,1.45
41,14,01,1741.59,610.52,1653.46,1.37
57,122,03,796.07,338.58,743.39,1.42
59,102,03,1024.0,468.57,944.56,1.48
58,112,03,1039.97,333.01,989.55,1.37
56,132,03,1040.19,340.24,993.13,1.34
12,20,02,713.13,241.21,677.44,1.38
11,30,02,1723.92,612.51,1634.07,1.37
13,10,02,2169.27,1032.15,1995.82,1.46
