city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Nepalganj  Nepalganj,Nepal,NP,Nepalganj,http://airportsbase.org/Nepal/all/Nepalganj/Nepalganj,VNNG,KEP,"28° 0' 0"" N","81° 38' 0"" E",http://airportsbase.org/Nepal/all/Nepalganj/Nepalganj
Phaplu  Phaplu,Nepal,NP,Phaplu,http://airportsbase.org/Nepal/all/Phaplu/Phaplu,VNPL,PPL,"27° 31' 0"" N","86° 34' 59"" E",http://airportsbase.org/Nepal/all/Phaplu/Phaplu
Pokhara  Pokhara,Nepal,NP,Pokhara,http://airportsbase.org/Nepal/all/Pokhara/Pokhara,VNPK,PKR,"28° 12' 03.17"" N","083° 58' 55.40"" E",http://airportsbase.org/Nepal/all/Pokhara/Pokhara
Rajbiraj  Rajbiraj,Nepal,NP,Rajbiraj,http://airportsbase.org/Nepal/all/Rajbiraj/Rajbiraj,VNRB,RJB,"26° 31' 0"" N","86° 44' 0"" E",http://airportsbase.org/Nepal/all/Rajbiraj/Rajbiraj
Ramechhap  Ramechhap,Nepal,NP,Ramechhap,http://airportsbase.org/Nepal/all/Ramechhap/Ramechhap,VNRC,RHP,"27° 20' 0"" N","87° 0' 30"" E",http://airportsbase.org/Nepal/all/Ramechhap/Ramechhap
Rolpa  Rolpa,Nepal,NP,Rolpa,http://airportsbase.org/Nepal/all/Rolpa/Rolpa,VNRP,RPA,"28° 42' 0"" N","82° 39' 0"" E",http://airportsbase.org/Nepal/all/Rolpa/Rolpa
Rukumkot  Rukumkot,Nepal,NP,Rukumkot,http://airportsbase.org/Nepal/all/Rukumkot/Rukumkot, ,RUK,"28° 57' 0"" N","82° 16' 0"" E",http://airportsbase.org/Nepal/all/Rukumkot/Rukumkot
Rumjartar  Rumjartar,Nepal,NP,Rumjatar,http://airportsbase.org/Nepal/all/Rumjartar/Rumjatar,VNRT,RUM,"27° 20' 0"" N","86° 33' 0"" E",http://airportsbase.org/Nepal/all/Rumjartar/Rumjatar
Salley  Salley,Nepal,NP,Airport of Salley,http://airportsbase.org/Nepal/all/Salley/Airport_of_Salley,VNSL,,,,http://airportsbase.org/Nepal/all/Salley/Airport_of_Salley
Sanfebagar  Sanfebagar,Nepal,NP,Sanfebagar,http://airportsbase.org/Nepal/all/Sanfebagar/Sanfebagar,VNSR,FEB,"29° 14' 0"" N","81° 13' 0"" E",http://airportsbase.org/Nepal/all/Sanfebagar/Sanfebagar
Silgadi Doti  Silgadi Doti,Nepal,NP,Silgadi Doti,http://airportsbase.org/Nepal/all/Silgadi_Doti/Silgadi_Doti,VNDT,SIH,"29° 16' 0"" N","80° 59' 0"" E",http://airportsbase.org/Nepal/all/Silgadi_Doti/Silgadi_Doti
Aalsmeer  Aalsmeer,Netherlands,NL,Aalsmeer -- Off-Line Point,http://airportsbase.org/Netherlands/all/Aalsmeer/Aalsmeer_--_Off-Line_Point, ,QFA,,,http://airportsbase.org/Netherlands/all/Aalsmeer/Aalsmeer_--_Off-Line_Point
Almelo  Almelo,Netherlands,NL,Almelo -- Railway Service,http://airportsbase.org/Netherlands/all/Almelo/Almelo_--_Railway_Service, ,QYL,,,http://airportsbase.org/Netherlands/all/Almelo/Almelo_--_Railway_Service
Ameland  Ameland,Netherlands,NL,Airport of Ameland,http://airportsbase.org/Netherlands/all/Ameland/Airport_of_Ameland,EHAL,,,,http://airportsbase.org/Netherlands/all/Ameland/Airport_of_Ameland
Amersfoort  Amersfoort,Netherlands,NL,Amersfoort -- Railway Service,http://airportsbase.org/Netherlands/all/Amersfoort/Amersfoort_--_Railway_Service, ,QYM,,,http://airportsbase.org/Netherlands/all/Amersfoort/Amersfoort_--_Railway_Service
Amsterdam  Amsterdam,Netherlands,NL,Amsterdam -- Railway Service,http://airportsbase.org/Netherlands/all/Amsterdam/Amsterdam_--_Railway_Service, ,ZYA,,,http://airportsbase.org/Netherlands/all/Amsterdam/Amsterdam_--_Railway_Service
Apeldoorn  Apeldoorn,Netherlands,NL,Apeldoorn -- Railway Service,http://airportsbase.org/Netherlands/all/Apeldoorn/Apeldoorn_--_Railway_Service, ,QYP,,,http://airportsbase.org/Netherlands/all/Apeldoorn/Apeldoorn_--_Railway_Service
Arnhem  Arnhem,Netherlands,NL,Arnhem -- Railway Service,http://airportsbase.org/Netherlands/all/Arnhem/Arnhem_--_Railway_Service, ,ZYM,,,http://airportsbase.org/Netherlands/all/Arnhem/Arnhem_--_Railway_Service
