city,country,ISO CountryCode,AirportName,airporturl,ICAO,IATA,latitude,longitude,moreinfourl
Amdar  Amdar,Afghanistan,AF,Airport of Amdar,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar,OAAD,,,,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar
Amdar  Amdar,Afghanistan,AF,Airport of Amdar,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar,OAAD,,,,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar
Andkhoi  Andkhoi,Afghanistan,AF,Airport of Andkhoi,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi,OAAK,OYV,,,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi
Asmar  Asmar,Afghanistan,AF,Airport of Asmar,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar,OAAS,,,,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar
Baghlan  Baghlan,Afghanistan,AF,Airport of Baghlan,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan,OABG,,,,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan
Bagram  Bagram,Afghanistan,AF,BAGRAM,http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM,OAIX,,"34° 56' 46.10"" N","069° 15' 53.90"" E",http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM
Bamar  Bamar,Afghanistan,AF,Airport of Bamar,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar,OABR,,,,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar
Bamiyan  Bamiyan,Afghanistan,AF,Bamiyan,http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan,OABN,BIN,"34° 48' 0"" N","67° 49' 0"" E",http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan
Bandkamalkhan  Bandkamalkhan,Afghanistan,AF,Airport of Bandkamalkhan,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan,OABK,,,,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan
Behsood  Behsood,Afghanistan,AF,Airport of Behsood,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood,OABD,,,,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood
Bost  Bost,Afghanistan,AF,Bost,http://airportsbase.org/Afghanistan/all/Bost/Bost,OABT,BST,"31° 33' 0"" N","64° 22' 0"" E",http://airportsbase.org/Afghanistan/all/Bost/Bost
Chakcharan  Chakcharan,Afghanistan,AF,Chakcharan,http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan,OACC,CCN,"34° 32' 0"" N","65° 16' 0"" E",http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan
Charburjak  Charburjak,Afghanistan,AF,Airport of Charburjak,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak,OACB,,,,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak
Darra-I-Soof  Darra-I-Soof,Afghanistan,AF,Airport of Darra-I-Soof,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof,OADF,,,,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof
Darwaz  Darwaz,Afghanistan,AF,Darwaz,http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz,OADZ,DAZ,"38° 28' 0"" N","70° 53' 0"" E",http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz
Dawlatabad  Dawlatabad,Afghanistan,AF,Airport of Dawlatabad,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad,OADD,,,,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad
Deshoo  Deshoo,Afghanistan,AF,Airport of Deshoo,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo,OAOO,,,,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo
Devar  Devar,Afghanistan,AF,Airport of Devar,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar,OADV,,,,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar
Dilaram  Dilaram,Afghanistan,AF,Airport of Dilaram,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram,OARM,,,,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram
Eshkashem  Eshkashem,Afghanistan,AF,Airport of Eshkashem,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem,OAEM,,,,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem
Faizabad  Faizabad,Afghanistan,AF,Faizabad,http://airportsbase.org/Afghanistan/all/Faizabad/Faizabad,OAFZ,FBD,"37° 5' 0"" N","70° 30' 0"" E",http://airportsbase.org/Afghanistan/all/Faizabad/Faizabad
Farah  Farah,Afghanistan,AF,Farah,http://airportsbase.org/Afghanistan/all/Farah/Farah,OAFR,FAH,"32° 22' 0"" N","62° 10' 0"" E",http://airportsbase.org/Afghanistan/all/Farah/Farah
Gader  Gader,Afghanistan,AF,Airport of Gader,http://airportsbase.org/Afghanistan/all/Gader/Airport_of_Gader,OAGD,,,,http://airportsbase.org/Afghanistan/all/Gader/Airport_of_Gader
Gardez  Gardez,Afghanistan,AF,Gardez,http://airportsbase.org/Afghanistan/all/Gardez/Gardez,OAGZ,GRG,"33° 37' 0"" N","69° 7' 0"" E",http://airportsbase.org/Afghanistan/all/Gardez/Gardez
Gasar  Gasar,Afghanistan,AF,Airport of Gasar,http://airportsbase.org/Afghanistan/all/Gasar/Airport_of_Gasar,OAGS,,,,http://airportsbase.org/Afghanistan/all/Gasar/Airport_of_Gasar
Ghaziabad  Ghaziabad,Afghanistan,AF,Airport of Ghaziabad,http://airportsbase.org/Afghanistan/all/Ghaziabad/Airport_of_Ghaziabad,OAGA,,,,http://airportsbase.org/Afghanistan/all/Ghaziabad/Airport_of_Ghaziabad
Ghazni  Ghazni,Afghanistan,AF,Ghazni,http://airportsbase.org/Afghanistan/all/Ghazni/Ghazni,OAGN,GZI,"33° 0' 0"" N","68° 25' 0"" E",http://airportsbase.org/Afghanistan/all/Ghazni/Ghazni
Ghelmeen  Ghelmeen,Afghanistan,AF,Airport of Ghelmeen,http://airportsbase.org/Afghanistan/all/Ghelmeen/Airport_of_Ghelmeen,OAGM,,,,http://airportsbase.org/Afghanistan/all/Ghelmeen/Airport_of_Ghelmeen
Gulistan  Gulistan,Afghanistan,AF,Airport of Gulistan,http://airportsbase.org/Afghanistan/all/Gulistan/Airport_of_Gulistan,OAGL,,,,http://airportsbase.org/Afghanistan/all/Gulistan/Airport_of_Gulistan
Hajigak  Hajigak,Afghanistan,AF,Airport of Hajigak,http://airportsbase.org/Afghanistan/all/Hajigak/Airport_of_Hajigak,OAHJ,,,,http://airportsbase.org/Afghanistan/all/Hajigak/Airport_of_Hajigak
Hazrat Eman  Hazrat Eman,Afghanistan,AF,Airport of Hazrat Eman,http://airportsbase.org/Afghanistan/all/Hazrat_Eman/Airport_of_Hazrat_Eman,OAHE,,,,http://airportsbase.org/Afghanistan/all/Hazrat_Eman/Airport_of_Hazrat_Eman
Herat  Herat,Afghanistan,AF,Herat,http://airportsbase.org/Afghanistan/all/Herat/Herat,OAHR,HEA,"34° 12' 36.06"" N","062° 13' 41.88"" E",http://airportsbase.org/Afghanistan/all/Herat/Herat
Islam Qala  Islam Qala,Afghanistan,AF,Airport of Islam Qala,http://airportsbase.org/Afghanistan/all/Islam_Qala/Airport_of_Islam_Qala,OAEQ,,,,http://airportsbase.org/Afghanistan/all/Islam_Qala/Airport_of_Islam_Qala
Jabul-Saraj  Jabul-Saraj,Afghanistan,AF,Airport of Jabul-Saraj,http://airportsbase.org/Afghanistan/all/Jabul-Saraj/Airport_of_Jabul-Saraj,OAJS,,,,http://airportsbase.org/Afghanistan/all/Jabul-Saraj/Airport_of_Jabul-Saraj
Jalalabad  Jalalabad,Afghanistan,AF,Jalalabad,http://airportsbase.org/Afghanistan/all/Jalalabad/Jalalabad,OAJL,JAA,"34° 23' 59.43"" N","070° 29' 55.05"" E",http://airportsbase.org/Afghanistan/all/Jalalabad/Jalalabad
Jawand  Jawand,Afghanistan,AF,Airport of Jawand,http://airportsbase.org/Afghanistan/all/Jawand/Airport_of_Jawand,OAJW,,,,http://airportsbase.org/Afghanistan/all/Jawand/Airport_of_Jawand
Kabul (Khabul  Kabul (Khabul,Afghanistan,AF,Kabul ACC FIC,http://airportsbase.org/Afghanistan/all/Kabul_Khabul/Kabul_ACC_FIC,OAKX,,,,http://airportsbase.org/Afghanistan/all/Kabul_Khabul/Kabul_ACC_FIC
Kajaki  Kajaki,Afghanistan,AF,Airport of Kajaki,http://airportsbase.org/Afghanistan/all/Kajaki/Airport_of_Kajaki,OAKJ,,,,http://airportsbase.org/Afghanistan/all/Kajaki/Airport_of_Kajaki
Kalat  Kalat,Afghanistan,AF,Airport of Kalat,http://airportsbase.org/Afghanistan/all/Kalat/Airport_of_Kalat,OAKT,,,,http://airportsbase.org/Afghanistan/all/Kalat/Airport_of_Kalat
Kaldar  Kaldar,Afghanistan,AF,Airport of Kaldar,http://airportsbase.org/Afghanistan/all/Kaldar/Airport_of_Kaldar,OAKR,,,,http://airportsbase.org/Afghanistan/all/Kaldar/Airport_of_Kaldar
Kamar  Kamar,Afghanistan,AF,Airport of Kamar,http://airportsbase.org/Afghanistan/all/Kamar/Airport_of_Kamar,OAKM,,,,http://airportsbase.org/Afghanistan/all/Kamar/Airport_of_Kamar
Amdar  Amdar,Afghanistan,AF,Airport of Amdar,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar,OAAD,,,,http://airportsbase.org/Afghanistan/all/Amdar/Airport_of_Amdar
Andkhoi  Andkhoi,Afghanistan,AF,Airport of Andkhoi,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi,OAAK,OYV,,,http://airportsbase.org/Afghanistan/all/Andkhoi/Airport_of_Andkhoi
Asmar  Asmar,Afghanistan,AF,Airport of Asmar,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar,OAAS,,,,http://airportsbase.org/Afghanistan/all/Asmar/Airport_of_Asmar
Baghlan  Baghlan,Afghanistan,AF,Airport of Baghlan,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan,OABG,,,,http://airportsbase.org/Afghanistan/all/Baghlan/Airport_of_Baghlan
Bagram  Bagram,Afghanistan,AF,BAGRAM,http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM,OAIX,,"34° 56' 46.10"" N","069° 15' 53.90"" E",http://airportsbase.org/Afghanistan/all/Bagram/BAGRAM
Bamar  Bamar,Afghanistan,AF,Airport of Bamar,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar,OABR,,,,http://airportsbase.org/Afghanistan/all/Bamar/Airport_of_Bamar
Bamiyan  Bamiyan,Afghanistan,AF,Bamiyan,http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan,OABN,BIN,"34° 48' 0"" N","67° 49' 0"" E",http://airportsbase.org/Afghanistan/all/Bamiyan/Bamiyan
Bandkamalkhan  Bandkamalkhan,Afghanistan,AF,Airport of Bandkamalkhan,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan,OABK,,,,http://airportsbase.org/Afghanistan/all/Bandkamalkhan/Airport_of_Bandkamalkhan
Behsood  Behsood,Afghanistan,AF,Airport of Behsood,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood,OABD,,,,http://airportsbase.org/Afghanistan/all/Behsood/Airport_of_Behsood
Bost  Bost,Afghanistan,AF,Bost,http://airportsbase.org/Afghanistan/all/Bost/Bost,OABT,BST,"31° 33' 0"" N","64° 22' 0"" E",http://airportsbase.org/Afghanistan/all/Bost/Bost
Chakcharan  Chakcharan,Afghanistan,AF,Chakcharan,http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan,OACC,CCN,"34° 32' 0"" N","65° 16' 0"" E",http://airportsbase.org/Afghanistan/all/Chakcharan/Chakcharan
Charburjak  Charburjak,Afghanistan,AF,Airport of Charburjak,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak,OACB,,,,http://airportsbase.org/Afghanistan/all/Charburjak/Airport_of_Charburjak
Darra-I-Soof  Darra-I-Soof,Afghanistan,AF,Airport of Darra-I-Soof,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof,OADF,,,,http://airportsbase.org/Afghanistan/all/Darra-I-Soof/Airport_of_Darra-I-Soof
Darwaz  Darwaz,Afghanistan,AF,Darwaz,http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz,OADZ,DAZ,"38° 28' 0"" N","70° 53' 0"" E",http://airportsbase.org/Afghanistan/all/Darwaz/Darwaz
Dawlatabad  Dawlatabad,Afghanistan,AF,Airport of Dawlatabad,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad,OADD,,,,http://airportsbase.org/Afghanistan/all/Dawlatabad/Airport_of_Dawlatabad
Deshoo  Deshoo,Afghanistan,AF,Airport of Deshoo,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo,OAOO,,,,http://airportsbase.org/Afghanistan/all/Deshoo/Airport_of_Deshoo
Devar  Devar,Afghanistan,AF,Airport of Devar,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar,OADV,,,,http://airportsbase.org/Afghanistan/all/Devar/Airport_of_Devar
Dilaram  Dilaram,Afghanistan,AF,Airport of Dilaram,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram,OARM,,,,http://airportsbase.org/Afghanistan/all/Dilaram/Airport_of_Dilaram
Eshkashem  Eshkashem,Afghanistan,AF,Airport of Eshkashem,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem,OAEM,,,,http://airportsbase.org/Afghanistan/all/Eshkashem/Airport_of_Eshkashem
Faizabad  Faizabad,Afghanistan,AF,Faizabad,http://airportsbase.org/Afghanistan/all/Faizabad/Faizabad,OAFZ,FBD,"37° 5' 0"" N","70° 30' 0"" E",http://airportsbase.org/Afghanistan/all/Faizabad/Faizabad
Farah  Farah,Afghanistan,AF,Farah,http://airportsbase.org/Afghanistan/all/Farah/Farah,OAFR,FAH,"32° 22' 0"" N","62° 10' 0"" E",http://airportsbase.org/Afghanistan/all/Farah/Farah
Gader  Gader,Afghanistan,AF,Airport of Gader,http://airportsbase.org/Afghanistan/all/Gader/Airport_of_Gader,OAGD,,,,http://airportsbase.org/Afghanistan/all/Gader/Airport_of_Gader
Gardez  Gardez,Afghanistan,AF,Gardez,http://airportsbase.org/Afghanistan/all/Gardez/Gardez,OAGZ,GRG,"33° 37' 0"" N","69° 7' 0"" E",http://airportsbase.org/Afghanistan/all/Gardez/Gardez
Gasar  Gasar,Afghanistan,AF,Airport of Gasar,http://airportsbase.org/Afghanistan/all/Gasar/Airport_of_Gasar,OAGS,,,,http://airportsbase.org/Afghanistan/all/Gasar/Airport_of_Gasar
Ghaziabad  Ghaziabad,Afghanistan,AF,Airport of Ghaziabad,http://airportsbase.org/Afghanistan/all/Ghaziabad/Airport_of_Ghaziabad,OAGA,,,,http://airportsbase.org/Afghanistan/all/Ghaziabad/Airport_of_Ghaziabad
Ghazni  Ghazni,Afghanistan,AF,Ghazni,http://airportsbase.org/Afghanistan/all/Ghazni/Ghazni,OAGN,GZI,"33° 0' 0"" N","68° 25' 0"" E",http://airportsbase.org/Afghanistan/all/Ghazni/Ghazni
Ghelmeen  Ghelmeen,Afghanistan,AF,Airport of Ghelmeen,http://airportsbase.org/Afghanistan/all/Ghelmeen/Airport_of_Ghelmeen,OAGM,,,,http://airportsbase.org/Afghanistan/all/Ghelmeen/Airport_of_Ghelmeen
Gulistan  Gulistan,Afghanistan,AF,Airport of Gulistan,http://airportsbase.org/Afghanistan/all/Gulistan/Airport_of_Gulistan,OAGL,,,,http://airportsbase.org/Afghanistan/all/Gulistan/Airport_of_Gulistan
Hajigak  Hajigak,Afghanistan,AF,Airport of Hajigak,http://airportsbase.org/Afghanistan/all/Hajigak/Airport_of_Hajigak,OAHJ,,,,http://airportsbase.org/Afghanistan/all/Hajigak/Airport_of_Hajigak
Hazrat Eman  Hazrat Eman,Afghanistan,AF,Airport of Hazrat Eman,http://airportsbase.org/Afghanistan/all/Hazrat_Eman/Airport_of_Hazrat_Eman,OAHE,,,,http://airportsbase.org/Afghanistan/all/Hazrat_Eman/Airport_of_Hazrat_Eman
Herat  Herat,Afghanistan,AF,Herat,http://airportsbase.org/Afghanistan/all/Herat/Herat,OAHR,HEA,"34° 12' 36.06"" N","062° 13' 41.88"" E",http://airportsbase.org/Afghanistan/all/Herat/Herat
Islam Qala  Islam Qala,Afghanistan,AF,Airport of Islam Qala,http://airportsbase.org/Afghanistan/all/Islam_Qala/Airport_of_Islam_Qala,OAEQ,,,,http://airportsbase.org/Afghanistan/all/Islam_Qala/Airport_of_Islam_Qala
Jabul-Saraj  Jabul-Saraj,Afghanistan,AF,Airport of Jabul-Saraj,http://airportsbase.org/Afghanistan/all/Jabul-Saraj/Airport_of_Jabul-Saraj,OAJS,,,,http://airportsbase.org/Afghanistan/all/Jabul-Saraj/Airport_of_Jabul-Saraj
Jalalabad  Jalalabad,Afghanistan,AF,Jalalabad,http://airportsbase.org/Afghanistan/all/Jalalabad/Jalalabad,OAJL,JAA,"34° 23' 59.43"" N","070° 29' 55.05"" E",http://airportsbase.org/Afghanistan/all/Jalalabad/Jalalabad
Jawand  Jawand,Afghanistan,AF,Airport of Jawand,http://airportsbase.org/Afghanistan/all/Jawand/Airport_of_Jawand,OAJW,,,,http://airportsbase.org/Afghanistan/all/Jawand/Airport_of_Jawand
Kabul (Khabul  Kabul (Khabul,Afghanistan,AF,Kabul ACC FIC,http://airportsbase.org/Afghanistan/all/Kabul_Khabul/Kabul_ACC_FIC,OAKX,,,,http://airportsbase.org/Afghanistan/all/Kabul_Khabul/Kabul_ACC_FIC
Kajaki  Kajaki,Afghanistan,AF,Airport of Kajaki,http://airportsbase.org/Afghanistan/all/Kajaki/Airport_of_Kajaki,OAKJ,,,,http://airportsbase.org/Afghanistan/all/Kajaki/Airport_of_Kajaki
Kalat  Kalat,Afghanistan,AF,Airport of Kalat,http://airportsbase.org/Afghanistan/all/Kalat/Airport_of_Kalat,OAKT,,,,http://airportsbase.org/Afghanistan/all/Kalat/Airport_of_Kalat
Kaldar  Kaldar,Afghanistan,AF,Airport of Kaldar,http://airportsbase.org/Afghanistan/all/Kaldar/Airport_of_Kaldar,OAKR,,,,http://airportsbase.org/Afghanistan/all/Kaldar/Airport_of_Kaldar
Kamar  Kamar,Afghanistan,AF,Airport of Kamar,http://airportsbase.org/Afghanistan/all/Kamar/Airport_of_Kamar,OAKM,,,,http://airportsbase.org/Afghanistan/all/Kamar/Airport_of_Kamar
Gjadri  Gjadri,Albania,AL,Gjadri Military Aerodrome,http://airportsbase.org/Albania/all/Gjadri/Gjadri_Military_Aerodrome,LAGJ,,"41° 53' 42.80"" N","019° 35' 55.24"" E",http://airportsbase.org/Albania/all/Gjadri/Gjadri_Military_Aerodrome
Gjirokaster  Gjirokaster,Albania,AL,GJIROKASTER,http://airportsbase.org/Albania/all/Gjirokaster/GJIROKASTER, ,,"40° 05' 14.40"" N","020° 09' 11.00"" E",http://airportsbase.org/Albania/all/Gjirokaster/GJIROKASTER
Korea  Korea,Albania,AL,Korea Aerodrome,http://airportsbase.org/Albania/all/Korea/Korea_Aerodrome,LAKO,,"40° 38' 44.36"" N","020° 44' 29.35"" E",http://airportsbase.org/Albania/all/Korea/Korea_Aerodrome
Kucova  Kucova,Albania,AL,Kucova Military Aerodrome,http://airportsbase.org/Albania/all/Kucova/Kucova_Military_Aerodrome,LAKV,,"40° 46' 18.80"" N","019° 54' 06.80"" E",http://airportsbase.org/Albania/all/Kucova/Kucova_Military_Aerodrome
Kukes  Kukes,Albania,AL,Kukes Aerodrome,http://airportsbase.org/Albania/all/Kukes/Kukes_Aerodrome,LAKU,,,,http://airportsbase.org/Albania/all/Kukes/Kukes_Aerodrome
Saranda  Saranda,Albania,AL,Saranda Aerodrome,http://airportsbase.org/Albania/all/Saranda/Saranda_Aerodrome,LASR,,,,http://airportsbase.org/Albania/all/Saranda/Saranda_Aerodrome
Shkodra  Shkodra,Albania,AL,ShkodraAerodrome,http://airportsbase.org/Albania/all/Shkodra/ShkodraAerodrome,LASK,,,,http://airportsbase.org/Albania/all/Shkodra/ShkodraAerodrome
Tirana  Tirana,Albania,AL,Tirana FIR UIR FIC ACC SAR,http://airportsbase.org/Albania/all/Tirana/Tirana_FIR_UIR_FIC_ACC_SAR,LAAA,TIA,"41° 24' 53"" N","19° 43' 14"" E",http://airportsbase.org/Albania/all/Tirana/Tirana_FIR_UIR_FIC_ACC_SAR
Vlora  Vlora,Albania,AL,Vlora Aerodrome,http://airportsbase.org/Albania/all/Vlora/Vlora_Aerodrome,LAVL,,,,http://airportsbase.org/Albania/all/Vlora/Vlora_Aerodrome
Adrar  Adrar,Algeria,DZ,Touat-Mohammed Belkebir,http://airportsbase.org/Algeria/all/Adrar/Touat-Mohammed_Belkebir,DAUA,AZR,"27° 53' 0"" N","0° 17' 0"" W",http://airportsbase.org/Algeria/all/Adrar/Touat-Mohammed_Belkebir
Ain Beida  Ain Beida,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Ain_Beida/Off-Line_Point, ,QBP,,,http://airportsbase.org/Algeria/all/Ain_Beida/Off-Line_Point
Ain Mlila  Ain Mlila,Algeria,DZ,Airport of Ain Mlila,http://airportsbase.org/Algeria/all/Ain_Mlila/Airport_of_Ain_Mlila, ,QIM,,,http://airportsbase.org/Algeria/all/Ain_Mlila/Airport_of_Ain_Mlila
Ain Oussera  Ain Oussera,Algeria,DZ,AIN OUSSERA,http://airportsbase.org/Algeria/all/Ain_Oussera/AIN_OUSSERA,DAAQ,,"35° 31' 31.49"" N","002° 52' 43.37"" E",http://airportsbase.org/Algeria/all/Ain_Oussera/AIN_OUSSERA
Ain Temochent  Ain Temochent,Algeria,DZ,Airport of Ain Temochent,http://airportsbase.org/Algeria/all/Ain_Temochent/Airport_of_Ain_Temochent, ,QIO,,,http://airportsbase.org/Algeria/all/Ain_Temochent/Airport_of_Ain_Temochent
Alger (Algiers  Alger (Algiers,Algeria,DZ,Alger ACC,http://airportsbase.org/Algeria/all/Alger_Algiers/Alger_ACC,DAAA,,,,http://airportsbase.org/Algeria/all/Alger_Algiers/Alger_ACC
Annaba  Annaba,Algeria,DZ,Les Salines,http://airportsbase.org/Algeria/all/Annaba/Les_Salines,DABB,AAE,"36° 50' 0"" N","8° 0' 0"" E",http://airportsbase.org/Algeria/all/Annaba/Les_Salines
Aoulef  Aoulef,Algeria,DZ,Airport of Aoulef,http://airportsbase.org/Algeria/all/Aoulef/Airport_of_Aoulef,DAAF,,,,http://airportsbase.org/Algeria/all/Aoulef/Airport_of_Aoulef
Arzew  Arzew,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Arzew/Off-Line_Point, ,QAE,,,http://airportsbase.org/Algeria/all/Arzew/Off-Line_Point
Azzazga  Azzazga,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Azzazga/Off-Line_Point, ,ZZA,,,http://airportsbase.org/Algeria/all/Azzazga/Off-Line_Point
Barike  Barike,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Barike/Off-Line_Point, ,ZZB,,,http://airportsbase.org/Algeria/all/Barike/Off-Line_Point
Bechar  Bechar,Algeria,DZ,Boudghene Ben Ali Lotfi,http://airportsbase.org/Algeria/all/Bechar/Boudghene_Ben_Ali_Lotfi,DAOR,CBH,"31° 39' 0"" N","2° 15' 0"" W",http://airportsbase.org/Algeria/all/Bechar/Boudghene_Ben_Ali_Lotfi
Bechar/Ouakda  Bechar/Ouakda,Algeria,DZ,Airport of Bechar/Ouakda,http://airportsbase.org/Algeria/all/Bechar_Ouakda/Airport_of_Bechar_Ouakda,DAOC,,,,http://airportsbase.org/Algeria/all/Bechar_Ouakda/Airport_of_Bechar_Ouakda
Bejaia  Bejaia,Algeria,DZ,Soummam-Abane Ram Dane,http://airportsbase.org/Algeria/all/Bejaia/Soummam-Abane_Ram_Dane,DAAE,BJA,"36° 45' 0"" N","5° 5' 0"" E",http://airportsbase.org/Algeria/all/Bejaia/Soummam-Abane_Ram_Dane
Berriane  Berriane,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Berriane/Off-Line_Point, ,ZBI,,,http://airportsbase.org/Algeria/all/Berriane/Off-Line_Point
Bettioua  Bettioua,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Bettioua/Off-Line_Point, ,QBT,,,http://airportsbase.org/Algeria/all/Bettioua/Off-Line_Point
Biskra  Biskra,Algeria,DZ,Mohamed Khider,http://airportsbase.org/Algeria/all/Biskra/Mohamed_Khider,DAUB,BSK,"34° 47' 35.84"" N","005° 44' 17.63"" E",http://airportsbase.org/Algeria/all/Biskra/Mohamed_Khider
Blida (El Boulaida  Blida (El Boulaida,Algeria,DZ,BLIDA,http://airportsbase.org/Algeria/all/Blida_El_Boulaida/BLIDA,DAAB,QLD,"36° 30' 13.01"" N","002° 48' 51.00"" E",http://airportsbase.org/Algeria/all/Blida_El_Boulaida/BLIDA
Bordj Badji Mokhtar  Bordj Badji Mokhtar,Algeria,DZ,Bordj Badji Mokhtar,http://airportsbase.org/Algeria/all/Bordj_Badji_Mokhtar/Bordj_Badji_Mokhtar,DATM,BMW,"21° 8' 0"" N","1° 4' 0"" E",http://airportsbase.org/Algeria/all/Bordj_Badji_Mokhtar/Bordj_Badji_Mokhtar
Bordj Bou Arreri  Bordj Bou Arreri,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Bordj_Bou_Arreri/Off-Line_Point, ,QBJ,,,http://airportsbase.org/Algeria/all/Bordj_Bou_Arreri/Off-Line_Point
Bordj Menaiel  Bordj Menaiel,Algeria,DZ,Airport of Bordj Menaiel,http://airportsbase.org/Algeria/all/Bordj_Menaiel/Airport_of_Bordj_Menaiel, ,ZZM,,,http://airportsbase.org/Algeria/all/Bordj_Menaiel/Airport_of_Bordj_Menaiel
Bordj Omar Driss  Bordj Omar Driss,Algeria,DZ,Airport of Bordj Omar Driss,http://airportsbase.org/Algeria/all/Bordj_Omar_Driss/Airport_of_Bordj_Omar_Driss,DAAW,,,,http://airportsbase.org/Algeria/all/Bordj_Omar_Driss/Airport_of_Bordj_Omar_Driss
Bou Sfer  Bou Sfer,Algeria,DZ,BOU SFER,http://airportsbase.org/Algeria/all/Bou_Sfer/BOU_SFER,DAOE,,"35° 44' 07.40"" N","000° 48' 19.40"" W",http://airportsbase.org/Algeria/all/Bou_Sfer/BOU_SFER
Boufarik  Boufarik,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Boufarik/Off-Line_Point,DAAK,QFD,"36° 32' 45.00"" N","002° 52' 34.00"" E",http://airportsbase.org/Algeria/all/Boufarik/Off-Line_Point
Bouira  Bouira,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Bouira/Off-Line_Point, ,QBZ,,,http://airportsbase.org/Algeria/all/Bouira/Off-Line_Point
Boukadir  Boukadir,Algeria,DZ,Off-Line Point,http://airportsbase.org/Algeria/all/Boukadir/Off-Line_Point, ,ZAB,,,http://airportsbase.org/Algeria/all/Boukadir/Off-Line_Point
