sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
41,19,12,840.41,325.75,789.47,1.41
84,139,10,2027.06,620.74,1935.61,1.35
85,67,10,856.44,339.85,797.79,1.45
93,106,12,1549.39,519.84,1477.1,1.36
92,116,12,1552.52,467.28,1491.13,1.32
141,73,12,1358.75,473.64,1297.04,1.34
140,83,12,181.83,121.29,139.84,2.34
90,136,12,1692.96,799.68,1568.76,1.44
87,47,10,2175.23,706.14,2069.97,1.38
73,77,10,1339.1,610.26,1247.79,1.41
91,126,12,1784.31,678.15,1675.04,1.41
107,130,12,1022.15,412.98,950.83,1.46
106,140,12,490.12,252.17,432.3,1.71
13,126,11,1524.46,716.14,1401.76,1.47
108,120,12,2003.06,604.76,1921.24,1.33
12,136,11,1789.39,771.58,1655.84,1.46
109,110,12,1579.46,610.17,1479.64,1.42
94,9,11,1660.11,556.04,1576.45,1.38
15,106,11,1942.99,618.74,1861.56,1.33
11,108,10,492.62,235.8,456.5,1.44
14,116,11,2009.72,693.05,1912.56,1.35
10,118,10,2226.79,623.65,2141.64,1.32
72,87,10,1964.93,538.04,1892.03,1.32
82,97,10,1965.47,664.17,1875.02,1.34
77,37,10,1849.35,680.3,1736.93,1.42
122,4,11,874.1,465.2,782.62,1.57
108,84,11,1144.21,517.93,1062.14,1.44
67,62,11,496.5,217.74,451.59,1.58
66,72,11,972.11,409.58,905.37,1.44
139,4,10,939.7,485.02,849.67,1.53
68,52,11,1475.13,438.2,1414.51,1.34
109,74,11,1300.12,499.7,1212.64,1.45
65,82,11,748.43,332.39,693.41,1.46
107,94,11,1255.12,471.37,1183.83,1.39
78,27,10,1242.45,411.98,1177.18,1.39
64,92,11,1367.76,498.75,1285.73,1.42
84,77,10,1483.13,362.96,1446.48,1.24
69,42,11,2100.41,742.5,1980.5,1.4
75,57,10,831.02,393.18,756.53,1.54
28,136,12,705.57,329.09,656.24,1.42
29,126,12,1397.67,455.51,1325.34,1.41
76,47,10,1477.73,490.18,1402.14,1.38
111,105,10,255.72,172.4,218.85,1.71
110,115,10,1239.38,501.37,1158.44,1.43
128,37,10,1573.87,743.77,1446.69,1.48
125,67,10,1090.35,403.29,1025.69,1.42
123,87,10,2304.32,763.05,2197.08,1.37
106,101,12,660.24,391.81,588.92,1.55
102,141,12,1534.42,662.02,1418.6,1.47
104,121,12,1405.55,653.28,1311.96,1.41
127,47,10,1008.67,378.78,944.61,1.44
105,111,12,482.94,274.04,416.64,1.79
71,97,10,1251.88,570.53,1169.63,1.4
103,131,12,2264.43,950.13,2108.41,1.44
15,1,11,2788.15,771.55,2689.69,1.3
79,17,10,1760.33,515.17,1696.4,1.3
126,57,10,487.46,251.86,436.16,1.6
129,27,10,1419.09,477.13,1343.26,1.39
74,67,10,1814.1,732.92,1699.8,1.41
122,97,10,1181.37,477.61,1114.76,1.37
124,77,10,973.37,388.64,907.84,1.44
122,81,10,783.36,441.88,694.8,1.59
30,105,10,2444.81,796.99,2327.34,1.36
127,52,12,274.35,163.78,226.34,2.03
126,62,12,1655.66,642.01,1549.99,1.42
34,57,11,972.78,455.33,892.9,1.49
125,72,12,807.4,332.02,753.39,1.44
31,87,11,1949.21,612.96,1859.7,1.36
123,92,12,1439.1,546.35,1362.07,1.37
38,17,11,1767.38,557.26,1692.9,1.33
123,71,10,1044.43,519.8,942.14,1.55
128,42,12,1915.18,707.7,1806.57,1.39
33,67,11,698.74,281.32,651.1,1.45
128,21,10,1011.42,349.85,959.88,1.37
129,32,12,561.28,189.68,534.39,1.36
32,77,11,1316.19,414.14,1261.09,1.33
127,31,10,946.67,328.45,905.19,1.33
124,82,12,1681.43,535.05,1602.98,1.36
121,4,11,1256.44,524.35,1169.19,1.44
106,94,11,955.13,454.47,868.97,1.53
107,84,11,1498.93,451.46,1431.18,1.36
129,11,10,1509.71,538.08,1428.44,1.38
109,64,11,1932.9,769.65,1803.04,1.44
30,97,11,1711.9,661.54,1619.64,1.37
121,91,10,665.38,270.0,627.89,1.38
35,47,11,1393.97,516.01,1308.59,1.42
124,61,10,1417.92,635.46,1329.69,1.4
33,120,12,1099.0,331.72,1054.23,1.33
35,100,12,1186.22,370.4,1131.54,1.38
32,130,12,1785.39,511.28,1722.17,1.3
126,41,10,2475.48,815.71,2346.81,1.39
31,140,12,1374.64,659.2,1260.81,1.48
34,110,12,1317.65,583.36,1223.94,1.44
81,130,12,707.92,337.48,651.85,1.47
82,120,12,657.59,268.26,609.75,1.48
84,100,12,2085.94,543.55,2017.2,1.3
69,21,12,375.39,170.23,342.29,1.55
62,91,12,938.49,318.52,890.74,1.38
80,140,12,1158.05,349.72,1108.65,1.34
68,31,12,1114.96,391.99,1062.26,1.35
67,41,12,922.01,284.07,886.9,1.32
125,51,10,1259.62,636.38,1142.1,1.53
64,71,12,642.95,282.23,595.58,1.46
83,110,12,1307.07,351.59,1260.67,1.31
65,61,12,1192.86,353.75,1149.21,1.3
96,115,11,1552.29,543.1,1468.25,1.39
95,125,11,1889.71,564.04,1813.69,1.33
88,16,12,1176.41,453.86,1109.18,1.39
85,46,12,665.17,279.15,620.79,1.43
83,66,12,584.37,243.14,543.23,1.46
87,26,12,455.27,218.56,410.85,1.57
53,4,12,1506.16,581.16,1413.22,1.42
39,84,12,1493.13,436.11,1435.49,1.32
81,86,12,1194.78,483.21,1112.94,1.44
43,25,11,1626.62,439.76,1573.47,1.29
41,45,11,1119.86,387.98,1061.3,1.38
42,35,11,897.42,345.6,845.26,1.4
66,51,12,1195.61,475.21,1123.56,1.4
40,55,11,1106.72,341.17,1055.24,1.37
82,76,12,862.57,362.5,798.93,1.47
67,5,11,1959.56,499.34,1899.4,1.28
63,81,12,1801.95,613.88,1713.78,1.36
44,15,11,1943.76,660.87,1844.73,1.37
84,56,12,812.89,324.54,771.94,1.36
104,5,12,1468.71,585.9,1370.4,1.44
26,44,10,1198.67,490.88,1113.28,1.47
97,105,11,1689.03,752.18,1561.83,1.46
24,64,10,1656.65,607.45,1557.49,1.42
86,36,12,1561.04,536.66,1483.65,1.36
28,24,10,765.42,445.58,686.94,1.53
94,135,11,1974.45,1034.67,1817.98,1.44
80,96,12,1692.97,520.43,1618.89,1.35
29,14,10,1071.39,364.48,1016.76,1.38
25,54,10,1462.66,453.99,1392.58,1.38
38,81,11,1101.91,422.19,1031.04,1.43
39,71,11,743.16,321.02,690.59,1.45
27,34,10,1780.75,447.66,1725.85,1.28
37,91,11,1009.69,348.95,955.53,1.39
52,1,11,1606.34,496.85,1533.59,1.36
89,114,10,861.57,352.08,810.69,1.41
88,124,10,434.4,256.91,373.95,1.77
87,134,10,2018.52,675.93,1920.86,1.36
113,121,10,2145.45,764.55,2028.86,1.39
115,101,10,554.54,392.81,460.83,1.79
23,74,10,2015.18,620.8,1933.16,1.33
114,111,10,511.73,295.63,446.89,1.73
112,131,10,747.53,393.36,699.57,1.4
111,141,10,1922.13,650.05,1822.13,1.39
40,23,11,1638.05,419.83,1587.83,1.28
