sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
140,84,02,776.59,242.51,742.71,1.36
141,74,02,1794.7,584.01,1713.32,1.35
107,131,02,1037.98,317.79,994.4,1.33
108,121,02,763.19,343.63,713.57,1.41
14,117,01,1063.63,358.01,1014.11,1.35
106,141,02,1559.69,531.36,1485.03,1.36
13,127,01,685.53,266.33,644.18,1.41
109,111,02,1079.49,456.11,1005.9,1.43
12,137,01,1556.98,626.67,1458.93,1.41
26,19,01,1696.62,518.66,1625.52,1.33
22,59,01,941.59,420.01,870.23,1.46
20,79,01,1403.38,442.02,1342.35,1.34
21,69,01,407.18,161.16,379.64,1.46
97,125,03,895.43,373.71,840.92,1.4
98,115,03,982.44,335.33,935.97,1.36
99,105,03,1880.32,465.74,1833.6,1.24
107,95,01,1905.84,499.46,1849.1,1.27
108,85,01,795.46,268.34,761.9,1.33
65,83,01,1702.3,467.42,1643.05,1.3
64,93,01,1132.82,354.61,1083.53,1.34
69,43,01,137.55,92.44,109.11,2.16
109,75,01,894.33,372.49,828.02,1.47
66,73,01,749.73,320.26,700.79,1.41
82,44,03,1224.17,407.54,1166.12,1.36
83,34,03,158.58,117.37,112.94,2.68
67,63,01,853.85,252.4,821.56,1.31
24,39,01,1075.56,408.71,1015.0,1.39
2,15,01,375.77,182.86,327.29,1.82
1,25,01,1485.32,585.6,1400.45,1.38
85,14,03,1223.15,491.39,1162.85,1.34
122,5,01,157.78,141.09,123.68,1.88
28,137,02,1188.01,433.91,1131.29,1.34
80,64,03,1481.23,486.95,1411.74,1.36
25,29,01,1216.84,312.4,1184.24,1.25
81,54,03,805.27,329.59,757.58,1.39
36,1,03,643.61,245.52,602.93,1.44
84,24,03,1270.3,431.27,1209.13,1.36
23,49,01,1926.94,673.04,1846.64,1.31
127,135,02,1974.45,611.18,1899.09,1.3
129,115,02,1056.49,365.85,1008.19,1.34
128,125,02,1403.45,413.26,1352.13,1.3
15,2,01,469.55,223.34,406.38,1.86
111,6,02,1446.6,709.57,1354.08,1.39
23,104,03,2082.12,627.06,2007.75,1.29
22,114,03,1274.96,382.51,1223.84,1.32
21,124,03,1313.88,402.91,1263.83,1.31
20,134,03,2035.74,592.77,1957.68,1.32
32,78,01,608.8,249.09,564.37,1.47
38,18,01,1265.93,306.17,1232.13,1.26
37,28,01,1309.47,391.76,1260.17,1.31
50,14,01,877.78,256.44,844.08,1.32
36,38,01,1644.21,494.3,1582.58,1.31
32,139,03,1330.21,373.0,1285.4,1.29
33,129,03,210.6,147.67,160.17,2.35
35,109,03,1871.1,609.74,1789.86,1.33
34,119,03,975.23,290.91,939.03,1.31
35,48,01,1875.88,490.45,1819.57,1.27
24,11,01,1044.29,422.65,986.13,1.37
20,51,01,2252.38,622.84,2180.44,1.28
23,21,01,1477.39,349.76,1440.19,1.25
21,41,01,1665.89,468.05,1608.33,1.3
34,58,01,1240.26,447.92,1173.36,1.38
98,20,02,2409.28,600.77,2339.6,1.27
91,90,02,1753.75,630.45,1663.82,1.36
22,31,01,1735.46,645.26,1645.89,1.36
92,80,02,1976.6,386.6,1938.61,1.22
97,30,02,1742.09,651.32,1652.17,1.36
31,88,01,1663.52,719.7,1555.15,1.41
59,138,01,937.52,369.64,889.93,1.34
141,97,03,1481.27,478.36,1422.37,1.32
94,60,02,2286.3,849.37,2161.59,1.38
34,9,03,1348.05,330.92,1310.77,1.26
99,10,02,1036.32,207.55,1017.62,1.21
30,98,01,1871.88,644.42,1785.21,1.34
19,99,03,1695.96,510.96,1631.87,1.31
19,88,01,2068.56,909.32,1907.21,1.47
18,98,01,1895.05,650.55,1801.09,1.36
93,70,02,1307.85,509.82,1225.49,1.42
24,132,01,1561.41,553.95,1482.76,1.36
26,112,01,1535.6,421.17,1481.37,1.31
25,122,01,1179.33,485.95,1098.16,1.44
27,102,01,1465.46,513.91,1384.55,1.39
64,72,02,1081.2,389.08,1026.13,1.37
67,42,02,519.26,197.6,488.75,1.41
62,92,02,1552.54,427.16,1500.32,1.29
66,52,02,1101.6,301.24,1065.18,1.29
130,60,03,1278.26,351.93,1238.51,1.28
133,30,03,1650.31,586.91,1566.62,1.36
80,59,03,1243.32,484.43,1173.59,1.38
81,49,03,280.21,244.39,195.4,2.71
33,68,01,1378.14,368.46,1334.69,1.28
84,19,03,948.44,229.31,923.71,1.25
68,32,02,2220.52,571.71,2153.73,1.28
82,39,03,763.16,266.23,725.31,1.36
135,10,03,558.86,234.46,524.53,1.42
69,22,02,1278.79,452.36,1210.17,1.38
132,40,03,1166.98,325.82,1125.16,1.32
139,129,02,1016.46,329.93,969.64,1.35
53,5,02,759.62,256.08,722.32,1.37
39,85,02,1671.76,390.01,1628.91,1.25
138,139,02,1319.0,564.0,1227.31,1.44
38,95,02,1546.11,533.98,1459.09,1.45
134,20,03,2176.32,635.74,2093.83,1.31
65,62,02,1342.66,412.85,1285.71,1.34
6,88,03,921.62,331.83,875.27,1.36
5,98,03,1449.43,537.26,1356.76,1.57
1,32,03,1761.68,513.43,1695.01,1.31
2,22,03,1416.26,470.51,1352.18,1.34
104,6,02,964.77,297.65,930.13,1.3
3,12,03,1762.17,415.78,1719.01,1.24
64,93,03,1064.03,419.72,1004.92,1.4
69,43,03,134.37,92.36,107.16,2.12
63,82,02,1879.44,459.0,1824.55,1.28
66,73,03,710.16,276.3,670.45,1.38
65,83,03,1620.47,464.8,1559.85,1.31
67,63,03,815.5,254.39,779.03,1.37
89,1,03,1076.25,317.67,1029.68,1.39
