sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
13,116,09,899.39,370.43,842.44,1.42
87,114,08,1912.94,546.87,1843.39,1.31
14,106,09,984.14,473.69,893.17,1.54
85,42,09,1530.45,521.78,1454.55,1.37
81,82,09,1526.35,560.83,1436.52,1.41
66,14,09,1336.97,584.34,1234.13,1.48
87,22,09,1849.93,755.2,1724.5,1.44
65,24,09,679.96,393.75,605.74,1.56
86,32,09,1210.02,422.93,1141.16,1.41
88,104,08,430.68,217.83,372.53,1.87
60,74,09,1793.9,491.54,1728.0,1.32
88,12,09,1355.17,592.1,1253.03,1.47
11,136,09,352.12,185.12,321.93,1.48
61,64,09,2357.09,1134.66,2188.15,1.42
109,136,09,1928.07,731.82,1807.92,1.42
84,52,09,738.96,261.57,696.56,1.41
108,66,08,1659.13,646.27,1543.39,1.46
62,54,09,1811.67,452.12,1757.02,1.28
86,124,08,1241.08,559.29,1143.38,1.48
107,76,08,1956.58,501.26,1900.35,1.27
82,72,09,1694.89,582.02,1606.97,1.38
64,34,09,448.88,196.15,414.09,1.5
109,56,08,2072.16,696.11,1961.36,1.39
126,73,08,1330.29,556.85,1224.95,1.5
125,83,08,927.07,352.28,878.19,1.38
80,92,09,2531.74,573.61,2466.34,1.26
128,53,08,975.2,355.64,923.32,1.38
63,44,09,1649.44,462.01,1588.58,1.31
106,86,08,1559.13,450.24,1503.6,1.3
129,43,08,1528.37,422.62,1476.32,1.3
85,134,08,2336.66,618.43,2260.17,1.29
110,5,08,2215.38,958.02,2088.23,1.38
83,62,09,217.54,125.32,186.72,1.82
120,6,08,1820.54,554.52,1756.39,1.29
127,63,08,513.62,188.54,484.39,1.4
124,93,08,2110.62,702.98,1999.17,1.39
45,102,07,1077.74,524.23,994.3,1.45
93,10,09,2270.08,738.79,2173.08,1.33
92,20,09,2384.64,605.73,2309.58,1.29
42,132,07,1406.18,354.15,1364.28,1.28
123,123,09,503.6,1514.79,115.47,4.06
122,133,09,1690.31,775.81,1529.01,1.58
43,122,07,606.02,263.7,560.24,1.48
90,40,09,1557.78,611.6,1448.59,1.46
124,113,09,1871.65,645.55,1772.15,1.39
91,30,09,2148.6,634.44,2058.49,1.34
45,1,08,584.37,298.12,518.18,1.64
125,103,09,1189.14,431.89,1128.19,1.36
44,112,07,1488.7,453.69,1426.79,1.33
106,126,08,722.73,403.27,651.31,1.53
92,19,07,2132.07,595.74,2061.03,1.29
105,136,08,522.55,202.09,493.44,1.38
76,63,08,893.77,296.75,851.02,1.36
90,39,07,1601.14,629.84,1491.44,1.46
108,106,08,1355.41,545.85,1269.02,1.42
72,128,08,2136.28,531.06,2074.23,1.27
107,116,08,1318.38,419.12,1264.35,1.32
50,137,09,1178.88,325.83,1142.29,1.27
53,107,09,2053.1,625.36,1958.42,1.36
51,127,09,1190.11,311.09,1153.13,1.28
73,93,08,1477.71,559.45,1385.59,1.43
73,118,08,2017.95,642.85,1926.04,1.35
118,75,08,542.63,291.42,485.82,1.57
119,64,07,578.04,219.23,540.31,1.46
118,74,07,1726.22,543.43,1649.74,1.35
71,138,08,1249.13,620.1,1146.17,1.47
58,6,07,1607.02,605.78,1530.45,1.34
50,20,08,2120.81,583.18,2044.24,1.31
116,94,07,1247.26,390.93,1190.58,1.35
131,4,07,1351.56,427.4,1289.44,1.36
137,113,07,2535.91,760.33,2421.74,1.36
136,123,07,388.39,260.54,333.93,1.68
138,103,07,752.45,235.57,718.97,1.36
116,95,08,2024.47,457.81,1975.73,1.24
74,108,08,1893.29,605.85,1818.13,1.31
55,4,08,1287.84,381.32,1242.18,1.3
75,73,08,1659.54,811.84,1527.36,1.48
119,65,08,565.25,216.02,534.73,1.38
29,7,09,678.59,223.66,647.28,1.35
130,139,09,374.15,236.41,302.66,2.12
132,119,09,1523.98,424.03,1467.49,1.32
131,129,09,1531.58,408.5,1480.98,1.29
131,5,08,2094.5,559.63,2021.56,1.31
133,109,09,2548.47,1327.59,2368.68,1.39
78,43,08,1344.36,359.2,1300.47,1.29
6,93,09,2221.89,798.35,2088.62,1.43
8,73,09,2146.64,626.32,2062.65,1.32
56,104,08,2239.71,731.38,2130.34,1.37
9,63,09,1730.91,501.08,1657.47,1.35
53,134,08,1692.72,573.31,1609.29,1.37
54,124,08,1154.6,472.64,1071.13,1.46
77,53,08,265.27,152.75,236.85,1.61
55,114,08,1037.23,387.78,979.8,1.38
79,33,08,894.42,258.27,858.46,1.33
74,83,08,1773.57,453.96,1714.83,1.3
10,141,09,2441.37,732.87,2337.89,1.34
12,121,09,2212.35,667.86,2117.83,1.35
11,131,09,708.03,341.13,628.89,1.66
13,111,09,730.42,413.78,640.6,1.65
14,101,09,416.65,222.94,375.58,1.55
18,104,09,1808.24,709.12,1685.83,1.45
16,124,09,920.85,450.73,841.37,1.49
136,4,09,626.31,327.01,564.95,1.54
17,114,09,1315.1,497.98,1234.9,1.41
29,113,07,1595.19,447.1,1534.46,1.32
15,134,09,2681.65,641.97,2598.63,1.29
28,123,07,438.65,259.16,392.09,1.56
140,104,07,1671.62,765.4,1547.17,1.45
50,15,08,522.24,232.61,479.68,1.5
71,28,08,305.12,231.54,256.82,1.74
70,38,08,466.53,187.26,435.27,1.45
40,18,08,1309.81,331.51,1270.03,1.31
72,18,08,1346.38,365.2,1300.34,1.3
135,51,07,1965.71,825.6,1837.18,1.42
134,61,07,1745.48,486.13,1681.97,1.31
113,117,07,2638.19,778.42,2528.11,1.34
132,81,07,2103.65,784.23,1977.27,1.42
112,127,07,262.25,153.25,222.36,1.84
131,91,07,529.05,202.39,494.79,1.44
114,107,07,672.96,266.09,628.21,1.44
136,41,07,1251.48,384.91,1199.16,1.34
110,11,08,237.86,167.97,180.85,2.35
111,137,07,1591.58,595.05,1501.0,1.39
138,21,07,1581.61,315.08,1553.44,1.2
22,15,08,1642.96,441.04,1588.98,1.29
137,31,07,2339.75,1010.86,2191.52,1.4
71,93,08,1771.68,473.75,1713.31,1.29
20,35,08,1176.81,339.34,1132.24,1.32
75,53,08,453.42,276.43,377.92,1.92
21,25,08,1275.23,287.99,1248.31,1.22
72,83,08,1464.41,367.05,1419.86,1.28
139,11,07,1792.33,645.61,1691.65,1.4
78,23,08,500.35,229.22,451.67,1.59
41,11,09,1625.9,513.47,1553.56,1.35
73,73,08,126.95,133.55,88.41,2.21
79,13,08,728.13,249.08,692.84,1.37
76,43,08,1472.32,420.69,1415.38,1.32
101,108,07,2105.81,1081.74,1913.12,1.52
100,118,07,213.44,141.21,168.48,2.21
77,33,08,1524.98,498.2,1451.19,1.37
117,94,08,2294.74,696.9,2206.3,1.31
119,74,08,1305.32,493.83,1229.43,1.4
118,84,08,2128.81,596.18,2048.6,1.32
132,4,08,280.79,194.31,225.64,2.06
62,104,08,1970.57,716.97,1827.17,1.54
60,124,08,1163.83,385.84,1106.17,1.37
61,114,08,2184.72,603.3,2107.27,1.3
15,82,09,1929.07,534.54,1858.78,1.31
18,52,09,1517.9,430.73,1459.68,1.32
14,92,09,1241.11,400.83,1184.37,1.35
23,51,07,2147.73,543.97,2081.57,1.28
16,72,09,2086.2,676.32,1977.33,1.39
26,21,07,1442.11,397.7,1395.24,1.28
19,42,09,1339.35,567.48,1247.53,1.43
24,41,07,2085.2,777.6,1941.03,1.52
17,62,09,1423.63,375.11,1378.17,1.29
22,61,07,1316.88,367.64,1267.65,1.32
54,88,07,1376.77,456.82,1304.36,1.39
57,58,07,1119.94,497.94,1026.99,1.5
20,81,07,2065.66,756.47,1936.15,1.43
53,98,07,1819.08,471.63,1761.68,1.29
58,48,07,1588.56,801.32,1444.86,1.51
25,31,07,2025.58,867.12,1872.82,1.47
56,68,07,1030.76,423.85,959.26,1.45
30,10,08,2093.97,700.14,1996.68,1.35
55,78,07,336.99,166.09,298.96,1.69
21,71,07,1855.8,600.52,1770.24,1.35
112,141,07,1071.44,441.9,993.78,1.47
113,131,07,2132.08,697.57,2037.09,1.34
59,38,07,471.06,179.57,445.79,1.37
116,101,07,1980.47,632.28,1892.22,1.34
115,111,07,569.5,296.19,512.0,1.56
27,11,07,2079.44,639.65,1997.43,1.32
114,121,07,574.35,289.26,517.91,1.62
49,130,09,950.48,479.44,875.13,1.46
48,140,09,1772.19,739.82,1648.43,1.45
105,79,08,779.47,223.82,752.77,1.29
