name,description,styleUrl,longitude,latitude,altitude
BARONS AGCM ALBERTA,BARONS AGCM ALBERTA ,Weather StationID 46447,#icon-22,-113.216667,50.016667,0
BARRAGE TEMISCAMINGUE QUEBEC,BARRAGE TEMISCAMINGUE QUEBEC ,Weather StationID 5977,#icon-22,-79.1,46.7,0
BARRHEAD CS ALBERTA,BARRHEAD CS ALBERTA ,Weather StationID 30641,#icon-22,-114.433333,54.083333,0
BARRIE-ORO ONTARIO,BARRIE-ORO ONTARIO ,Weather StationID 42183,#icon-22,-79.55,44.483333,0
BAS CARAQUET NEW BRUNSWICK,BAS CARAQUET NEW BRUNSWICK ,Weather StationID 6915,#icon-22,-64.833333,47.8,0
BAS CARAQUET NEW BRUNSWICK,BAS CARAQUET NEW BRUNSWICK ,Weather StationID 6113,#icon-22,-64.866667,47.8,0
BASSANO AGCM ALBERTA,BASSANO AGCM ALBERTA ,Weather StationID 46467,#icon-22,-112.45,50.883333,0
BATHURST A NEW BRUNSWICK,BATHURST A NEW BRUNSWICK ,Weather StationID 6916,#icon-22,-65.733333,47.616667,0
BEATRICE CLIMATE ONTARIO,BEATRICE CLIMATE ONTARIO ,Weather StationID 44183,#icon-22,-79.4,45.133333,0
BEAUCEVILLE QUEBEC,BEAUCEVILLE QUEBEC ,Weather StationID 26777,#icon-22,-70.783333,46.2,0
BEAUPORT QUEBEC,BEAUPORT QUEBEC ,Weather StationID 27803,#icon-22,-71.183333,46.833333,0
BEAVER CREEK A YUKON TERRITORY,BEAVER CREEK A YUKON TERRITORY ,Weather StationID 1518,#icon-22,-140.866667,62.4,0
BEAVER ISLAND (AUT) NOVA SCOTIA,BEAVER ISLAND (AUT) NOVA SCOTIA ,Weather StationID 10078,#icon-22,-62.333333,44.816667,0
BEAVERLODGE RCS ALBERTA,BEAVERLODGE RCS ALBERTA ,Weather StationID 30669,#icon-22,-119.383333,55.183333,0
BEDFORD BASIN NOVA SCOTIA,BEDFORD BASIN NOVA SCOTIA ,Weather StationID 43406,#icon-22,-63.633333,44.7,0
BEDFORD RANGE NOVA SCOTIA,BEDFORD RANGE NOVA SCOTIA ,Weather StationID 43123,#icon-22,-63.65,44.733333,0
BEECHY SASKATCHEWAN,BEECHY SASKATCHEWAN ,Weather StationID 3071,#icon-22,-107.3,50.816667,0
BEISEKER AGCM ALBERTA,BEISEKER AGCM ALBERTA ,Weather StationID 46468,#icon-22,-113.35,51.366667,0
BELLA BELLA A BRITISH COLUMBIA,BELLA BELLA A BRITISH COLUMBIA ,Weather StationID 44766,#icon-22,-128.15,52.183333,0
BELLA COOLA A BRITISH COLUMBIA,BELLA COOLA A BRITISH COLUMBIA ,Weather StationID 381,#icon-22,-126.583333,52.383333,0
BELLSHILL AGCM ALBERTA,BELLSHILL AGCM ALBERTA ,Weather StationID 46128,#icon-22,-111.45,52.566667,0
BERENS RIVER CS MANITOBA,BERENS RIVER CS MANITOBA ,Weather StationID 3721,#icon-22,-97.016667,52.35,0
BICKLEIGH SASKATCHEWAN,BICKLEIGH SASKATCHEWAN ,Weather StationID 3210,#icon-22,-108.4,51.283333,0
BIG TROUT LAKE READAC ONTARIO,BIG TROUT LAKE READAC ONTARIO ,Weather StationID 10804,#icon-22,-89.883333,53.8,0
BIG VALLEY AGCM ALBERTA,BIG VALLEY AGCM ALBERTA ,Weather StationID 46469,#icon-22,-112.8,51.983333,0
BIGHORN DAM ALBERTA,BIGHORN DAM ALBERTA ,Weather StationID 2365,#icon-22,-116.333333,52.316667,0
BLACK DIAMOND ALBERTA,BLACK DIAMOND ALBERTA ,Weather StationID 47747,#icon-22,-114.15,50.7,0
BLACKCOMB BASE SLIDING CENTER BRITISH COLUMBIA,BLACKCOMB BASE SLIDING CENTER BRITISH COLUMBIA ,Weather StationID 45787,#icon-22,-122.933333,50.1,0
BLANC-SABLON A QUEBEC,BLANC-SABLON A QUEBEC ,Weather StationID 5669,#icon-22,-57.183333,51.45,0
