name,description,styleUrl,longitude,latitude,altitude
CRAIGMYLE ALBERTA,CRAIGMYLE ALBERTA ,Weather StationID 2068,#icon-22,-112.283333,51.766667,0
CRAIGMYLE AGCM ALBERTA,CRAIGMYLE AGCM ALBERTA ,Weather StationID 46471,#icon-22,-112.25,51.766667,0
CRANBROOK A BRITISH COLUMBIA,CRANBROOK A BRITISH COLUMBIA ,Weather StationID 1174,#icon-22,-115.766667,49.6,0
CRESTOMERE AGCM ALBERTA,CRESTOMERE AGCM ALBERTA ,Weather StationID 47069,#icon-22,-113.9,52.716667,0
CRESTON CAMPBELL SCIENTIFIC BRITISH COLUMBIA,CRESTON CAMPBELL SCIENTIFIC BRITISH COLUMBIA ,Weather StationID 6838,#icon-22,-116.5,49.066667,0
CRISS CREEK BRITISH COLUMBIA,CRISS CREEK BRITISH COLUMBIA ,Weather StationID 1256,#icon-22,-120.716667,51.016667,0
CROKER RIVER NUNAVUT,CROKER RIVER NUNAVUT ,Weather StationID 10826,#icon-22,-119.216667,69.266667,0
CROSS LAKE JENPEG MANITOBA,CROSS LAKE JENPEG MANITOBA ,Weather StationID 3875,#icon-22,-98.033333,54.533333,0
CROWSNEST ALBERTA,CROWSNEST ALBERTA ,Weather StationID 10890,#icon-22,-114.466667,49.616667,0
CUMSHEWA ISLAND BRITISH COLUMBIA,CUMSHEWA ISLAND BRITISH COLUMBIA ,Weather StationID 6822,#icon-22,-131.6,53.016667,0
CYPRESS HILLS SASKATCHEWAN,CYPRESS HILLS SASKATCHEWAN ,Weather StationID 3085,#icon-22,-109.466667,49.666667,0
CYPRESS HILLS PARK SASKATCHEWAN,CYPRESS HILLS PARK SASKATCHEWAN ,Weather StationID 10888,#icon-22,-109.5,49.633333,0
CYPRESS RIVER RCS MANITOBA,CYPRESS RIVER RCS MANITOBA ,Weather StationID 48128,#icon-22,-99.066667,49.55,0
DAHINDA SASKATCHEWAN,DAHINDA SASKATCHEWAN ,Weather StationID 2878,#icon-22,-105.033333,49.733333,0
DAKOTA WEST ALBERTA,DAKOTA WEST ALBERTA ,Weather StationID 1857,#icon-22,-113.95,52.75,0
DANIELS HARBOUR NEWFOUNDLAND,DANIELS HARBOUR NEWFOUNDLAND ,Weather StationID 6613,#icon-22,-57.566667,50.233333,0
DAUPHIN A MANITOBA,DAUPHIN A MANITOBA ,Weather StationID 3780,#icon-22,-100.05,51.1,0
DAUPHIN CS MANITOBA,DAUPHIN CS MANITOBA ,Weather StationID 26866,#icon-22,-100.05,51.1,0
DAWSON YUKON TERRITORY,DAWSON YUKON TERRITORY ,Weather StationID 10194,#icon-22,-139.133333,64.05,0
DAWSON A YUKON TERRITORY,DAWSON A YUKON TERRITORY ,Weather StationID 1535,#icon-22,-139.116667,64.033333,0
DAWSON CREEK A BRITISH COLUMBIA,DAWSON CREEK A BRITISH COLUMBIA ,Weather StationID 48208,#icon-22,-120.166667,55.733333,0
DAWSON CREEK LWIS BRITISH COLUMBIA,DAWSON CREEK LWIS BRITISH COLUMBIA ,Weather StationID 44789,#icon-22,-120.166667,55.733333,0
DEADMEN VALLEY NORTHWEST TERRITORIES,DEADMEN VALLEY NORTHWEST TERRITORIES ,Weather StationID 31187,#icon-22,-124.466667,61.25,0
DEASE LAKE (AUT) BRITISH COLUMBIA,DEASE LAKE (AUT) BRITISH COLUMBIA ,Weather StationID 6845,#icon-22,-130.016667,58.416667,0
DEASE LAKE LWIS BRITISH COLUMBIA,DEASE LAKE LWIS BRITISH COLUMBIA ,Weather StationID 30909,#icon-22,-130.016667,58.416667,0
DEBERT NOVA SCOTIA,DEBERT NOVA SCOTIA ,Weather StationID 42243,#icon-22,-63.466667,45.416667,0
DEBOLT GOODWIN ALBERTA,DEBOLT GOODWIN ALBERTA ,Weather StationID 31207,#icon-22,-118.166667,55.25,0
DEER LAKE NEWFOUNDLAND,DEER LAKE NEWFOUNDLAND ,Weather StationID 6614,#icon-22,-57.433333,49.166667,0
DEER LAKE A NEWFOUNDLAND,DEER LAKE A NEWFOUNDLAND ,Weather StationID 6615,#icon-22,-57.4,49.216667,0
DEERWOOD RCS MANITOBA,DEERWOOD RCS MANITOBA ,Weather StationID 29886,#icon-22,-98.316667,49.383333,0
DEL BONITA AGDM ALBERTA,DEL BONITA AGDM ALBERTA ,Weather StationID 32256,#icon-22,-112.816667,49.05,0
DELBURNE AGCM ALBERTA,DELBURNE AGCM ALBERTA ,Weather StationID 46730,#icon-22,-113.166667,52.166667,0
DELHI CS ONTARIO,DELHI CS ONTARIO ,Weather StationID 27528,#icon-22,-80.55,42.866667,0
DELINE A NORTHWEST TERRITORIES,DELINE A NORTHWEST TERRITORIES ,Weather StationID 6850,#icon-22,-123.433333,65.2,0
DELINE CS NORTHWEST TERRITORIES,DELINE CS NORTHWEST TERRITORIES ,Weather StationID 27749,#icon-22,-123.433333,65.2,0
DELTA MARSH CS MANITOBA,DELTA MARSH CS MANITOBA ,Weather StationID 3783,#icon-22,-98.366667,50.166667,0
DELTA TSAWWASSEN BEACH BRITISH COLUMBIA,DELTA TSAWWASSEN BEACH BRITISH COLUMBIA ,Weather StationID 766,#icon-22,-123.083333,49,0
DESCHAMBAULT QUEBEC,DESCHAMBAULT QUEBEC ,Weather StationID 27325,#icon-22,-71.966667,46.683333,0
DEWAR LAKES NUNAVUT,DEWAR LAKES NUNAVUT ,Weather StationID 1746,#icon-22,-71.166667,68.65,0
DEWBERRY AGCM ALBERTA,DEWBERRY AGCM ALBERTA ,Weather StationID 46731,#icon-22,-110.583333,53.65,0
DISCOVERY ISLAND BRITISH COLUMBIA,DISCOVERY ISLAND BRITISH COLUMBIA ,Weather StationID 27226,#icon-22,-123.216667,48.416667,0
DORCHESTER ONTARIO,DORCHESTER ONTARIO ,Weather StationID 4750,#icon-22,-81.016667,43,0
DRUMHELLER EAST ALBERTA,DRUMHELLER EAST ALBERTA ,Weather StationID 10708,#icon-22,-112.666667,51.433333,0
DRUMMOND CENTRE ONTARIO,DRUMMOND CENTRE ONTARIO ,Weather StationID 4268,#icon-22,-76.25,45.016667,0
DRYAD POINT BRITISH COLUMBIA,DRYAD POINT BRITISH COLUMBIA ,Weather StationID 387,#icon-22,-128.1,52.183333,0
DRYDEN 'A' (AUT) ONTARIO,DRYDEN 'A' (AUT) ONTARIO ,Weather StationID 29368,#icon-22,-92.733333,49.816667,0
DUNCAN KELVIN CREEK BRITISH COLUMBIA,DUNCAN KELVIN CREEK BRITISH COLUMBIA ,Weather StationID 46,#icon-22,-123.716667,48.733333,0
DUPRE AGCM ALBERTA,DUPRE AGCM ALBERTA ,Weather StationID 47070,#icon-22,-110.866667,54.366667,0
DUVAL SASKATCHEWAN,DUVAL SASKATCHEWAN ,Weather StationID 2890,#icon-22,-104.866667,51.183333,0
EAGLE BUTTE ALBERTA,EAGLE BUTTE ALBERTA ,Weather StationID 2339,#icon-22,-110.366667,49.566667,0
EAGLESHAM AGCM ALBERTA,EAGLESHAM AGCM ALBERTA ,Weather StationID 47071,#icon-22,-117.883333,55.8,0
EAR FALLS (AUT) ONTARIO,EAR FALLS (AUT) ONTARIO ,Weather StationID 27865,#icon-22,-93.216667,50.616667,0
EARLTON AWOS ONTARIO,EARLTON AWOS ONTARIO ,Weather StationID 30246,#icon-22,-79.833333,47.683333,0
EARLTON CLIMATE ONTARIO,EARLTON CLIMATE ONTARIO ,Weather StationID 47687,#icon-22,-79.833333,47.683333,0
EAST POINT (AUT) PRINCE EDWARD ISLAND,EAST POINT (AUT) PRINCE EDWARD ISLAND ,Weather StationID 7177,#icon-22,-61.983333,46.45,0
EASTEND CYPRESS (AUT) SASKATCHEWAN,EASTEND CYPRESS (AUT) SASKATCHEWAN ,Weather StationID 7485,#icon-22,-108.983333,49.433333,0
ECKVILLE SOUTH ALBERTA,ECKVILLE SOUTH ALBERTA ,Weather StationID 2084,#icon-22,-114.383333,52.283333,0
EDGERTON AGCM ALBERTA,EDGERTON AGCM ALBERTA ,Weather StationID 46129,#icon-22,-110.416667,52.766667,0
EDMONTON CITY CENTRE AWOS ALBERTA,EDMONTON CITY CENTRE AWOS ALBERTA ,Weather StationID 31427,#icon-22,-113.516667,53.566667,0
EDMONTON INT'L A ALBERTA,EDMONTON INT'L A ALBERTA ,Weather StationID 1865,#icon-22,-113.583333,53.316667,0
EDMONTON INTERNATIONAL CS ALBERTA,EDMONTON INTERNATIONAL CS ALBERTA ,Weather StationID 27793,#icon-22,-113.6,53.3,0
EDMONTON MUNICIPAL CR10 ALBERTA,EDMONTON MUNICIPAL CR10 ALBERTA ,Weather StationID 27214,#icon-22,-113.516667,53.566667,0
EDMONTON NAMAO AWOS A ALBERTA,EDMONTON NAMAO AWOS A ALBERTA ,Weather StationID 30907,#icon-22,-113.466667,53.666667,0
EDMONTON STONY PLAIN ALBERTA,EDMONTON STONY PLAIN ALBERTA ,Weather StationID 1870,#icon-22,-114.1,53.533333,0
EDMONTON STONY PLAIN CS ALBERTA,EDMONTON STONY PLAIN CS ALBERTA ,Weather StationID 27492,#icon-22,-114.1,53.533333,0
EDMONTON WOODBEND ALBERTA,EDMONTON WOODBEND ALBERTA ,Weather StationID 1872,#icon-22,-113.75,53.416667,0
EDMUNDSTON NEW BRUNSWICK,EDMUNDSTON NEW BRUNSWICK ,Weather StationID 43323,#icon-22,-68.316667,47.416667,0
EDSON AWOS A ALBERTA,EDSON AWOS A ALBERTA ,Weather StationID 31588,#icon-22,-116.45,53.566667,0
EDSON CR10 ALBERTA,EDSON CR10 ALBERTA ,Weather StationID 27213,#icon-22,-116.45,53.566667,0
EGBERT CS ONTARIO,EGBERT CS ONTARIO ,Weather StationID 27604,#icon-22,-79.783333,44.233333,0
EGG ISLAND ALBERTA,EGG ISLAND ALBERTA ,Weather StationID 31027,#icon-22,-110.433333,58.966667,0
EKATI A NORTHWEST TERRITORIES,EKATI A NORTHWEST TERRITORIES ,Weather StationID 27240,#icon-22,-110.6,64.683333,0
ELBOW CS SASKATCHEWAN,ELBOW CS SASKATCHEWAN ,Weather StationID 3088,#icon-22,-106.583333,51.133333,0
ELK ISLAND NAT PARK ALBERTA,ELK ISLAND NAT PARK ALBERTA ,Weather StationID 1873,#icon-22,-112.866667,53.666667,0
ELORA RCS ONTARIO,ELORA RCS ONTARIO ,Weather StationID 41983,#icon-22,-80.416667,43.65,0
EMERSON AUTO MANITOBA,EMERSON AUTO MANITOBA ,Weather StationID 48068,#icon-22,-97.233333,49,0
ENCHANT AGDM ALBERTA,ENCHANT AGDM ALBERTA ,Weather StationID 42724,#icon-22,-112.433333,50.183333,0
ENGLEE (AUT) NEWFOUNDLAND,ENGLEE (AUT) NEWFOUNDLAND ,Weather StationID 10251,#icon-22,-56.1,50.716667,0
ENNADAI LAKE (AUT) NUNAVUT,ENNADAI LAKE (AUT) NUNAVUT ,Weather StationID 7341,#icon-22,-100.883333,61.116667,0
ENTRANCE ISLAND CS BRITISH COLUMBIA,ENTRANCE ISLAND CS BRITISH COLUMBIA ,Weather StationID 29411,#icon-22,-123.8,49.216667,0
ERIEAU (AUT) ONTARIO,ERIEAU (AUT) ONTARIO ,Weather StationID 9006,#icon-22,-81.9,42.25,0
ESQUIMALT HARBOUR BRITISH COLUMBIA,ESQUIMALT HARBOUR BRITISH COLUMBIA ,Weather StationID 52,#icon-22,-123.433333,48.416667,0
ESTEVAN A SASKATCHEWAN,ESTEVAN A SASKATCHEWAN ,Weather StationID 2896,#icon-22,-102.966667,49.216667,0
ESTEVAN POINT BRITISH COLUMBIA,ESTEVAN POINT BRITISH COLUMBIA ,Weather StationID 244,#icon-22,-126.55,49.383333,0
ESTEVAN POINT CS BRITISH COLUMBIA,ESTEVAN POINT CS BRITISH COLUMBIA ,Weather StationID 8040,#icon-22,-126.533333,49.366667,0
ESTHER 1 ALBERTA,ESTHER 1 ALBERTA ,Weather StationID 10225,#icon-22,-110.2,51.666667,0
ETZICOM AGCM ALBERTA,ETZICOM AGCM ALBERTA ,Weather StationID 46732,#icon-22,-111.05,49.55,0
EUREKA NUNAVUT,EUREKA NUNAVUT ,Weather StationID 1750,#icon-22,-85.933333,79.983333,0
EVANSBURG AGCM ALBERTA,EVANSBURG AGCM ALBERTA ,Weather StationID 47072,#icon-22,-115.116667,53.566667,0
FAIRVIEW AGDM ALBERTA,FAIRVIEW AGDM ALBERTA ,Weather StationID 31469,#icon-22,-118.433333,56.066667,0
FANNY ISLAND BRITISH COLUMBIA,FANNY ISLAND BRITISH COLUMBIA ,Weather StationID 29733,#icon-22,-125.983333,50.45,0
FARO (AUT) YUKON TERRITORY,FARO (AUT) YUKON TERRITORY ,Weather StationID 8964,#icon-22,-133.366667,62.2,0
FARO A YUKON TERRITORY,FARO A YUKON TERRITORY ,Weather StationID 1548,#icon-22,-133.366667,62.2,0
FERINTOSH AGCM ALBERTA,FERINTOSH AGCM ALBERTA ,Weather StationID 46733,#icon-22,-112.85,52.733333,0
FEROLLE POINT (AUT) NEWFOUNDLAND,FEROLLE POINT (AUT) NEWFOUNDLAND ,Weather StationID 9034,#icon-22,-57.1,51.016667,0
FERTILE SASKATCHEWAN,FERTILE SASKATCHEWAN ,Weather StationID 2900,#icon-22,-101.433333,49.333333,0
FINCASTLE AGDM ALBERTA,FINCASTLE AGDM ALBERTA ,Weather StationID 42727,#icon-22,-112.033333,49.8,0
FISHER BRANCH (AUT) MANITOBA,FISHER BRANCH (AUT) MANITOBA ,Weather StationID 8993,#icon-22,-97.55,51.083333,0
FLIN FLON MANITOBA,FLIN FLON MANITOBA ,Weather StationID 10213,#icon-22,-101.683333,54.683333,0
FLIN FLON A MANITOBA,FLIN FLON A MANITOBA ,Weather StationID 3858,#icon-22,-101.683333,54.683333,0
FOLDENS ONTARIO,FOLDENS ONTARIO ,Weather StationID 4762,#icon-22,-80.766667,43.016667,0
FOREMOST AGDM ALBERTA,FOREMOST AGDM ALBERTA ,Weather StationID 32257,#icon-22,-111.483333,49.483333,0
FORET MONTMORENCY RCS QUEBEC,FORET MONTMORENCY RCS QUEBEC ,Weather StationID 32413,#icon-22,-71.133333,47.316667,0
FORT ASSINIBOINE AGCM ALBERTA,FORT ASSINIBOINE AGCM ALBERTA ,Weather StationID 47128,#icon-22,-114.766667,54.4,0
FORT CHIPEWYAN AWOS A ALBERTA,FORT CHIPEWYAN AWOS A ALBERTA ,Weather StationID 31608,#icon-22,-111.116667,58.766667,0
FORT FRANCES A ONTARIO,FORT FRANCES A ONTARIO ,Weather StationID 3939,#icon-22,-93.433333,48.65,0
FORT FRANCES RCS ONTARIO,FORT FRANCES RCS ONTARIO ,Weather StationID 46507,#icon-22,-93.433333,48.65,0
FORT GOOD HOPE A NORTHWEST TERRITORIES,FORT GOOD HOPE A NORTHWEST TERRITORIES ,Weather StationID 1644,#icon-22,-128.65,66.233333,0
FORT LANGLEY TELEGRAPH TRAIL BRITISH COLUMBIA,FORT LANGLEY TELEGRAPH TRAIL BRITISH COLUMBIA ,Weather StationID 43723,#icon-22,-122.55,49.133333,0
FORT LIARD NORTHWEST TERRITORIES,FORT LIARD NORTHWEST TERRITORIES ,Weather StationID 10687,#icon-22,-123.466667,60.233333,0
FORT MACLEOD AGCM ALBERTA,FORT MACLEOD AGCM ALBERTA ,Weather StationID 46734,#icon-22,-113.366667,49.783333,0
FORT MCMURRAY AWOS A ALBERTA,FORT MCMURRAY AWOS A ALBERTA ,Weather StationID 31288,#icon-22,-111.216667,56.65,0
FORT MCMURRAY CS ALBERTA,FORT MCMURRAY CS ALBERTA ,Weather StationID 27216,#icon-22,-111.2,56.65,0
FORT MCPHERSON A NORTHWEST TERRITORIES,FORT MCPHERSON A NORTHWEST TERRITORIES ,Weather StationID 1648,#icon-22,-134.85,67.4,0
FORT NELSON A BRITISH COLUMBIA,FORT NELSON A BRITISH COLUMBIA ,Weather StationID 1455,#icon-22,-122.583333,58.833333,0
FORT NELSON UA BRITISH COLUMBIA,FORT NELSON UA BRITISH COLUMBIA ,Weather StationID 8248,#icon-22,-122.6,58.833333,0
FORT PROVIDENCE NORTHWEST TERRITORIES,FORT PROVIDENCE NORTHWEST TERRITORIES ,Weather StationID 10902,#icon-22,-117.6,61.316667,0
FORT RELIANCE (AUT) NORTHWEST TERRITORIES,FORT RELIANCE (AUT) NORTHWEST TERRITORIES ,Weather StationID 8935,#icon-22,-109.166667,62.7,0
FORT SASKATCHEWAN ALBERTA,FORT SASKATCHEWAN ALBERTA ,Weather StationID 1886,#icon-22,-113.183333,53.716667,0
FORT SEVERN A ONTARIO,FORT SEVERN A ONTARIO ,Weather StationID 45447,#icon-22,-87.666667,56.016667,0
FORT SIMPSON A NORTHWEST TERRITORIES,FORT SIMPSON A NORTHWEST TERRITORIES ,Weather StationID 1656,#icon-22,-121.233333,61.75,0
FORT SIMPSON CLIMATE NORTHWEST TERRITORIES,FORT SIMPSON CLIMATE NORTHWEST TERRITORIES ,Weather StationID 41944,#icon-22,-121.233333,61.75,0
FORT SMITH A NORTHWEST TERRITORIES,FORT SMITH A NORTHWEST TERRITORIES ,Weather StationID 1660,#icon-22,-111.95,60.016667,0
FORT SMITH CLIMATE NORTHWEST TERRITORIES,FORT SMITH CLIMATE NORTHWEST TERRITORIES ,Weather StationID 41884,#icon-22,-111.916667,60.016667,0
FORT ST JAMES BRITISH COLUMBIA,FORT ST JAMES BRITISH COLUMBIA ,Weather StationID 588,#icon-22,-124.316667,54.416667,0
FORT ST JOHN A BRITISH COLUMBIA,FORT ST JOHN A BRITISH COLUMBIA ,Weather StationID 1413,#icon-22,-120.733333,56.233333,0
FORT VERMILION ALBERTA,FORT VERMILION ALBERTA ,Weather StationID 30495,#icon-22,-116.033333,58.366667,0
FOX FIVE NUNAVUT,FOX FIVE NUNAVUT ,Weather StationID 1736,#icon-22,-63.783333,67.533333,0
FREDERICTON AQUATIC CENTRE C/S NEW BRUNSWICK,FREDERICTON AQUATIC CENTRE C/S NEW BRUNSWICK ,Weather StationID 10981,#icon-22,-66.65,45.95,0
FREDERICTON CDA CS NEW BRUNSWICK,FREDERICTON CDA CS NEW BRUNSWICK ,Weather StationID 30309,#icon-22,-66.6,45.916667,0
FRELIGHSBURG QUEBEC,FRELIGHSBURG QUEBEC ,Weather StationID 10815,#icon-22,-72.85,45.05,0
FUNDY PARK (ALMA) CS NEW BRUNSWICK,FUNDY PARK (ALMA) CS NEW BRUNSWICK ,Weather StationID 6919,#icon-22,-64.95,45.6,0
GAGETOWN AWOS A NEW BRUNSWICK,GAGETOWN AWOS A NEW BRUNSWICK ,Weather StationID 29493,#icon-22,-66.433333,45.833333,0
GANDER AIRPORT CS NEWFOUNDLAND,GANDER AIRPORT CS NEWFOUNDLAND ,Weather StationID 30346,#icon-22,-54.566667,48.933333,0
GANDER INT'L A NEWFOUNDLAND,GANDER INT'L A NEWFOUNDLAND ,Weather StationID 6633,#icon-22,-54.566667,48.933333,0
GARDEN RIVER ALBERTA,GARDEN RIVER ALBERTA ,Weather StationID 10932,#icon-22,-113.85,58.7,0
GASPE A QUEBEC,GASPE A QUEBEC ,Weather StationID 5794,#icon-22,-64.466667,48.766667,0
GATINEAU A QUEBEC,GATINEAU A QUEBEC ,Weather StationID 8375,#icon-22,-75.566667,45.516667,0
GEORGE ISLAND (AUT) MANITOBA,GEORGE ISLAND (AUT) MANITOBA ,Weather StationID 7333,#icon-22,-97.6,52.816667,0
GERALDTON A ONTARIO,GERALDTON A ONTARIO ,Weather StationID 4003,#icon-22,-86.916667,49.766667,0
GERMANSEN LANDING BRITISH COLUMBIA,GERMANSEN LANDING BRITISH COLUMBIA ,Weather StationID 1415,#icon-22,-124.7,55.783333,0
GIBSONS GOWER POINT BRITISH COLUMBIA,GIBSONS GOWER POINT BRITISH COLUMBIA ,Weather StationID 309,#icon-22,-123.533333,49.383333,0
GILBERT PLAINS MANITOBA,GILBERT PLAINS MANITOBA ,Weather StationID 3793,#icon-22,-100.466667,51.1,0
GILLAM MANITOBA,GILLAM MANITOBA ,Weather StationID 10217,#icon-22,-94.7,56.35,0
GILLAM A MANITOBA,GILLAM A MANITOBA ,Weather StationID 3878,#icon-22,-94.7,56.35,0
GILT EDGE NORTH AGCM ALBERTA,GILT EDGE NORTH AGCM ALBERTA ,Weather StationID 46131,#icon-22,-110.616667,53.066667,0
GIMLI CLIMATE MANITOBA,GIMLI CLIMATE MANITOBA ,Weather StationID 45007,#icon-22,-97.05,50.633333,0
GIMLI HARBOUR CS MANITOBA,GIMLI HARBOUR CS MANITOBA ,Weather StationID 27867,#icon-22,-96.966667,50.616667,0
GJOA HAVEN A NUNAVUT,GJOA HAVEN A NUNAVUT ,Weather StationID 1715,#icon-22,-95.85,68.633333,0
GJOA HAVEN AWOS A NUNAVUT,GJOA HAVEN AWOS A NUNAVUT ,Weather StationID 31268,#icon-22,-95.85,68.633333,0
GJOA HAVEN CLIMATE NUNAVUT,GJOA HAVEN CLIMATE NUNAVUT ,Weather StationID 41943,#icon-22,-95.85,68.633333,0
GLEICHEN AGCM ALBERTA,GLEICHEN AGCM ALBERTA ,Weather StationID 47073,#icon-22,-112.933333,50.933333,0
GLENEVIS AGCM ALBERTA,GLENEVIS AGCM ALBERTA ,Weather StationID 47074,#icon-22,-114.533333,53.816667,0
GLENWOOD ALBERTA,GLENWOOD ALBERTA ,Weather StationID 45748,#icon-22,-113.516667,49.333333,0
GODERICH ONTARIO,GODERICH ONTARIO ,Weather StationID 7747,#icon-22,-81.716667,43.766667,0
GOLDEN A BRITISH COLUMBIA,GOLDEN A BRITISH COLUMBIA ,Weather StationID 1364,#icon-22,-116.966667,51.283333,0
GOOD SPIRIT LAKE SASKATCHEWAN,GOOD SPIRIT LAKE SASKATCHEWAN ,Weather StationID 2911,#icon-22,-102.666667,51.5,0
GOOSE A NEWFOUNDLAND,GOOSE A NEWFOUNDLAND ,Weather StationID 6777,#icon-22,-60.416667,53.316667,0
GORE BAY  AWOS ONTARIO,GORE BAY  AWOS ONTARIO ,Weather StationID 30240,#icon-22,-82.566667,45.883333,0
GORE BAY CLIMATE ONTARIO,GORE BAY CLIMATE ONTARIO ,Weather StationID 48788,#icon-22,-82.566667,45.883333,0
GRAND ETANG NOVA SCOTIA,GRAND ETANG NOVA SCOTIA ,Weather StationID 10792,#icon-22,-61.05,46.55,0
GRAND MANAN SAR CS NEW BRUNSWICK,GRAND MANAN SAR CS NEW BRUNSWICK ,Weather StationID 30598,#icon-22,-66.8,44.7,0
GRAND RAPIDS (AUT) MANITOBA,GRAND RAPIDS (AUT) MANITOBA ,Weather StationID 7290,#icon-22,-99.266667,53.183333,0
GRAND RAPIDS HYDRO MANITOBA,GRAND RAPIDS HYDRO MANITOBA ,Weather StationID 3741,#icon-22,-99.283333,53.15,0
GRANDE PRAIRIE A ALBERTA,GRANDE PRAIRIE A ALBERTA ,Weather StationID 2718,#icon-22,-118.883333,55.166667,0
GRASSY LAKE ALBERTA,GRASSY LAKE ALBERTA ,Weather StationID 45647,#icon-22,-111.716667,49.866667,0
GRATES COVE NEWFOUNDLAND,GRATES COVE NEWFOUNDLAND ,Weather StationID 10818,#icon-22,-52.933333,48.166667,0
GREAT FALLS CLIMATE MANITOBA,GREAT FALLS CLIMATE MANITOBA ,Weather StationID 43243,#icon-22,-95.966667,50.516667,0
GREEN ISLAND BRITISH COLUMBIA,GREEN ISLAND BRITISH COLUMBIA ,Weather StationID 393,#icon-22,-130.7,54.566667,0
GREENWOOD A NOVA SCOTIA,GREENWOOD A NOVA SCOTIA ,Weather StationID 6354,#icon-22,-64.916667,44.983333,0
GRENADIER ISLAND ONTARIO,GRENADIER ISLAND ONTARIO ,Weather StationID 10903,#icon-22,-75.85,44.416667,0
GRETNA (AUT) MANITOBA,GRETNA (AUT) MANITOBA ,Weather StationID 3605,#icon-22,-97.55,49.016667,0
GREY ISLET (AUT) BRITISH COLUMBIA,GREY ISLET (AUT) BRITISH COLUMBIA ,Weather StationID 8258,#icon-22,-130.683333,54.566667,0
GRIMSBY MOUNTAIN ONTARIO,GRIMSBY MOUNTAIN ONTARIO ,Weather StationID 44123,#icon-22,-79.55,43.183333,0
GRISE FIORD NUNAVUT,GRISE FIORD NUNAVUT ,Weather StationID 1754,#icon-22,-82.9,76.416667,0
GRISE FIORD CLIMATE NUNAVUT,GRISE FIORD CLIMATE NUNAVUT ,Weather StationID 46568,#icon-22,-82.9,76.416667,0
GUELPH TURFGRASS ONTARIO,GUELPH TURFGRASS ONTARIO ,Weather StationID 45407,#icon-22,-80.216667,43.55,0
HAINES JUNCTION YUKON TERRITORY,HAINES JUNCTION YUKON TERRITORY ,Weather StationID 1556,#icon-22,-137.566667,60.766667,0
HALIBURTON 3 ONTARIO,HALIBURTON 3 ONTARIO ,Weather StationID 5170,#icon-22,-78.516667,45.016667,0
HALIFAX DOCKYARD NOVA SCOTIA,HALIFAX DOCKYARD NOVA SCOTIA ,Weather StationID 43405,#icon-22,-63.566667,44.65,0
HALIFAX KOOTENAY NOVA SCOTIA,HALIFAX KOOTENAY NOVA SCOTIA ,Weather StationID 43124,#icon-22,-63.55,44.583333,0
HALIFAX STANFIELD INT'L A NOVA SCOTIA,HALIFAX STANFIELD INT'L A NOVA SCOTIA ,Weather StationID 6358,#icon-22,-63.516667,44.883333,0
HALIFAX WINDSOR PARK NOVA SCOTIA,HALIFAX WINDSOR PARK NOVA SCOTIA ,Weather StationID 43403,#icon-22,-63.6,44.65,0
HALKIRK AGCM ALBERTA,HALKIRK AGCM ALBERTA ,Weather StationID 46787,#icon-22,-112.15,52.1,0
HALL BEACH A NUNAVUT,HALL BEACH A NUNAVUT ,Weather StationID 1755,#icon-22,-81.233333,68.766667,0
HALL BEACH AWOS NUNAVUT,HALL BEACH AWOS NUNAVUT ,Weather StationID 47467,#icon-22,-81.233333,68.766667,0
HALL BEACH CLIMATE NUNAVUT,HALL BEACH CLIMATE NUNAVUT ,Weather StationID 42483,#icon-22,-81.233333,68.766667,0
HAMILTON A ONTARIO,HAMILTON A ONTARIO ,Weather StationID 4932,#icon-22,-79.933333,43.166667,0
HAMILTON RBG CS ONTARIO,HAMILTON RBG CS ONTARIO ,Weather StationID 27529,#icon-22,-79.9,43.283333,0
HANBURY RIVER NORTHWEST TERRITORIES,HANBURY RIVER NORTHWEST TERRITORIES ,Weather StationID 10897,#icon-22,-105.133333,63.6,0
HARRINGTON CDA CS PRINCE EDWARD ISLAND,HARRINGTON CDA CS PRINCE EDWARD ISLAND ,Weather StationID 30308,#icon-22,-63.166667,46.333333,0
HARROW CDA AUTO ONTARIO,HARROW CDA AUTO ONTARIO ,Weather StationID 30266,#icon-22,-82.9,42.033333,0
HART ISLAND (AUT) NOVA SCOTIA,HART ISLAND (AUT) NOVA SCOTIA ,Weather StationID 7173,#icon-22,-60.983333,45.35,0
HAT ISLAND NUNAVUT,HAT ISLAND NUNAVUT ,Weather StationID 1716,#icon-22,-100.083333,68.316667,0
HAVRE-SAINT-PIERRE A QUEBEC,HAVRE-SAINT-PIERRE A QUEBEC ,Weather StationID 30130,#icon-22,-63.6,50.283333,0
HAWK HILLS AGCM ALBERTA,HAWK HILLS AGCM ALBERTA ,Weather StationID 47075,#icon-22,-117.283333,57.25,0
HAY RIVER A NORTHWEST TERRITORIES,HAY RIVER A NORTHWEST TERRITORIES ,Weather StationID 1664,#icon-22,-115.766667,60.833333,0
HAY RIVER CLIMATE NORTHWEST TERRITORIES,HAY RIVER CLIMATE NORTHWEST TERRITORIES ,Weather StationID 41885,#icon-22,-115.766667,60.833333,0
HEATH POINT QUEBEC,HEATH POINT QUEBEC ,Weather StationID 8675,#icon-22,-61.7,49.083333,0
HEMARUKA AGCM ALBERTA,HEMARUKA AGCM ALBERTA ,Weather StationID 46907,#icon-22,-111.2,51.766667,0
