sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
11,136,09,343.1,179.64,314.73,1.47
13,116,09,842.55,337.19,791.9,1.4
88,104,08,418.42,208.98,363.92,1.84
12,126,09,1209.4,639.51,1089.66,1.54
86,32,09,1148.02,394.58,1086.11,1.4
81,82,09,1447.25,520.79,1365.52,1.4
61,64,09,2231.88,1006.78,2089.15,1.4
83,62,09,207.47,120.85,177.93,1.81
66,14,09,1213.58,534.38,1124.68,1.45
82,72,09,1580.02,514.35,1507.82,1.35
86,124,08,1156.65,486.86,1080.5,1.42
65,24,09,638.92,354.87,576.27,1.52
84,52,09,714.79,278.06,672.91,1.41
14,106,09,921.57,447.14,838.0,1.52
109,136,09,1789.11,669.38,1681.01,1.42
108,66,08,1603.22,696.57,1479.91,1.47
87,22,09,1703.16,662.54,1601.01,1.4
107,76,08,1837.28,467.71,1784.62,1.27
64,34,09,440.17,203.84,404.58,1.5
87,114,08,1783.13,502.36,1721.31,1.3
106,86,08,1492.8,412.63,1444.4,1.28
85,42,09,1446.17,527.5,1371.08,1.37
60,74,09,1715.5,487.73,1650.66,1.32
109,56,08,1991.79,696.13,1879.0,1.4
129,43,08,1499.51,398.92,1452.0,1.28
125,83,08,917.49,391.78,865.67,1.38
88,12,09,1291.6,537.6,1203.35,1.44
124,93,08,2084.23,674.67,1981.15,1.38
62,54,09,1753.57,417.64,1705.49,1.27
120,6,08,1717.5,560.33,1655.07,1.29
110,5,08,2155.87,808.73,2055.58,1.34
85,134,08,2275.16,595.83,2203.87,1.28
80,92,09,2267.74,617.2,2185.7,1.31
63,44,09,1560.42,464.51,1496.44,1.33
127,63,08,503.2,185.55,474.51,1.4
128,53,08,941.01,341.15,890.46,1.41
117,85,08,2819.51,931.17,2688.97,1.35
92,20,09,2290.73,571.03,2221.54,1.28
93,10,09,2151.63,655.37,2070.71,1.31
119,65,08,559.51,210.81,530.34,1.37
122,133,09,1617.06,708.4,1483.46,1.52
125,103,09,1143.9,401.1,1090.78,1.34
118,75,08,500.62,262.19,453.04,1.52
90,40,09,1502.35,587.46,1404.28,1.43
124,113,09,1790.79,598.51,1702.34,1.37
91,30,09,2040.31,605.36,1955.33,1.34
45,1,08,549.96,286.39,487.2,1.64
123,123,09,342.98,1142.22,103.39,3.49
107,116,08,1248.58,374.24,1202.41,1.31
105,136,08,501.58,199.36,473.27,1.38
90,39,07,1510.58,613.68,1402.35,1.47
106,126,08,669.5,355.43,611.12,1.48
77,53,08,259.69,144.89,232.29,1.61
92,19,07,2145.82,558.93,2080.96,1.28
108,106,08,1264.36,526.89,1181.88,1.42
126,73,08,1260.74,538.42,1160.18,1.49
72,128,08,2057.54,517.82,1996.97,1.27
73,93,08,1474.97,594.79,1373.8,1.45
51,127,09,1146.83,312.65,1108.72,1.29
50,137,09,1138.37,316.09,1101.8,1.28
53,107,09,1876.92,587.7,1789.86,1.36
78,43,08,1315.93,338.6,1276.26,1.28
73,118,08,1949.63,559.38,1878.81,1.31
116,95,08,1953.33,448.29,1904.72,1.25
119,64,07,562.12,215.85,526.29,1.44
76,63,08,857.05,280.95,816.89,1.36
71,138,08,1128.08,547.78,1043.14,1.44
58,6,07,1580.92,624.18,1501.4,1.34
50,20,08,2070.03,531.83,2005.05,1.29
131,5,08,2047.95,572.37,1970.22,1.33
74,83,08,1778.82,740.31,1687.66,1.35
118,74,07,1625.09,490.79,1558.03,1.33
43,122,07,594.27,255.76,550.09,1.47
74,108,08,1896.07,619.53,1811.79,1.34
79,33,08,885.44,261.34,849.55,1.33
116,94,07,1207.26,361.06,1158.54,1.33
137,113,07,2456.9,739.46,2346.58,1.36
136,123,07,356.46,250.03,307.88,1.64
44,112,07,1481.84,426.41,1424.61,1.32
131,4,07,1323.01,405.67,1266.5,1.34
138,103,07,751.44,262.29,713.64,1.38
55,4,08,1302.91,406.78,1252.65,1.31
75,73,08,1587.6,733.34,1467.21,1.46
45,102,07,1021.86,472.63,952.07,1.42
29,7,09,642.68,213.49,612.5,1.35
132,119,09,1471.15,453.21,1415.19,1.31
133,109,09,2432.21,1112.06,2286.73,1.37
130,139,09,354.86,223.09,290.64,2.04
42,132,07,1387.69,359.08,1344.34,1.28
131,129,09,1469.84,375.4,1425.5,1.28
6,93,09,2154.08,758.0,2033.81,1.4
8,73,09,2030.55,533.11,1968.88,1.27
53,134,08,1620.55,531.42,1545.88,1.35
55,114,08,992.28,361.79,940.53,1.37
54,124,08,1085.35,422.16,1016.46,1.42
9,63,09,1687.2,471.24,1622.62,1.33
56,104,08,2074.29,673.17,1981.35,1.34
10,141,09,2324.02,681.21,2232.97,1.32
14,101,09,388.63,209.85,351.84,1.52
13,111,09,653.08,380.76,574.26,1.63
12,121,09,2113.75,626.56,2029.89,1.33
11,131,09,669.73,334.04,593.59,1.65
17,114,09,1211.67,456.61,1142.38,1.39
16,124,09,871.07,417.29,801.31,1.47
136,4,09,599.65,300.24,546.92,1.5
15,134,09,2511.27,625.03,2432.99,1.29
28,123,07,420.61,250.11,376.27,1.55
18,104,09,1680.31,630.48,1579.5,1.41
29,113,07,1549.77,438.55,1490.69,1.32
140,104,07,1503.14,632.18,1412.49,1.39
50,15,08,510.59,230.44,468.98,1.5
70,38,08,456.03,183.81,425.19,1.45
72,18,08,1286.09,358.09,1240.17,1.31
40,18,08,1271.49,324.67,1232.94,1.3
71,28,08,306.14,240.87,254.22,1.77
136,41,07,1225.1,367.16,1177.1,1.32
132,81,07,1921.05,689.18,1817.56,1.38
111,137,07,1536.98,548.5,1456.8,1.37
137,31,07,2305.04,958.86,2159.6,1.41
110,11,08,234.49,168.32,177.35,2.37
134,61,07,1647.22,436.52,1595.69,1.28
114,107,07,634.18,263.35,589.13,1.46
139,11,07,1769.56,618.18,1675.8,1.38
113,117,07,2508.19,736.38,2405.9,1.33
135,51,07,1934.43,746.85,1820.76,1.4
112,127,07,254.45,148.39,215.76,1.85
20,35,08,1131.54,321.94,1090.67,1.31
77,33,08,1464.69,481.23,1396.01,1.36
79,13,08,712.23,236.23,679.91,1.35
21,25,08,1235.99,288.84,1207.65,1.23
75,53,08,430.59,262.43,358.06,1.93
22,15,08,1572.3,405.34,1525.89,1.27
78,23,08,498.86,223.1,452.4,1.57
138,21,07,1561.09,331.98,1528.81,1.22
71,93,08,1769.97,487.32,1710.78,1.29
41,11,09,1553.85,486.45,1488.43,1.33
72,83,08,1392.5,352.75,1350.54,1.28
131,91,07,511.28,201.88,476.79,1.45
76,43,08,1514.42,448.01,1451.83,1.34
73,73,08,151.49,233.54,92.27,2.39
101,108,07,1972.33,972.79,1806.06,1.49
100,118,07,205.41,136.02,161.95,2.22
118,84,08,2072.73,531.91,2006.11,1.29
119,74,08,1196.27,434.94,1135.35,1.36
132,4,08,290.06,205.11,231.29,2.08
117,94,08,2119.15,639.25,2036.88,1.32
61,114,08,2237.07,628.92,2155.9,1.31
60,124,08,1109.3,364.77,1055.94,1.37
62,104,08,1801.15,591.29,1706.1,1.42
16,72,09,2047.82,765.62,1926.79,1.41
14,92,09,1168.62,372.29,1117.7,1.34
19,42,09,1238.46,523.97,1159.37,1.41
27,11,07,2045.7,612.76,1968.95,1.31
18,52,09,1431.56,396.16,1382.16,1.3
23,51,07,2048.99,535.81,1986.98,1.28
15,82,09,1824.81,514.52,1757.34,1.31
24,41,07,2050.81,732.75,1924.15,1.46
17,62,09,1338.01,356.43,1294.49,1.29
22,61,07,1324.67,489.76,1260.56,1.36
53,98,07,1785.58,461.35,1729.91,1.28
57,58,07,1101.47,491.71,1008.81,1.51
20,81,07,1880.55,684.94,1770.06,1.41
56,68,07,947.37,385.52,886.23,1.42
59,38,07,451.18,168.99,428.16,1.36
26,21,07,1424.5,371.23,1381.98,1.27
55,78,07,326.64,160.57,290.28,1.68
30,10,08,1989.26,597.88,1915.41,1.3
54,88,07,1314.81,441.07,1246.2,1.39
21,71,07,1807.93,584.78,1725.11,1.35
112,141,07,1051.09,433.37,975.17,1.47
114,121,07,551.69,275.5,498.43,1.6
58,48,07,1509.07,702.54,1388.99,1.47
113,131,07,2024.85,639.21,1940.24,1.33
116,101,07,1837.18,570.08,1762.46,1.32
25,31,07,1957.23,805.75,1818.29,1.45
115,111,07,574.18,305.52,512.34,1.59
48,140,09,1639.97,658.36,1532.57,1.43
49,130,09,886.26,428.82,821.45,1.44
109,39,08,1433.26,524.06,1340.88,1.47
107,59,08,1464.25,450.23,1404.63,1.33
45,121,09,450.87,270.63,390.16,1.7
43,141,09,907.46,360.88,847.4,1.44
44,131,09,760.57,353.95,700.61,1.47
107,22,08,1150.2,381.33,1096.58,1.35
95,45,09,1461.37,455.02,1399.61,1.34
92,75,09,1403.69,493.08,1335.09,1.36
106,69,08,1616.92,486.03,1550.37,1.33
93,65,09,658.14,342.49,587.82,1.59
18,104,08,1584.05,554.52,1501.47,1.38
46,111,09,974.31,387.86,917.83,1.39
94,55,09,741.98,247.97,703.89,1.39
104,89,08,1918.57,545.39,1842.64,1.33
105,42,08,549.89,292.86,503.43,1.49
90,95,09,2159.44,954.99,2015.46,1.42
16,124,08,861.16,348.71,805.37,1.42
103,99,08,641.18,199.89,616.95,1.31
98,128,07,2113.35,663.24,2009.83,1.38
97,25,09,393.32,270.2,328.12,1.81
47,101,09,1252.64,580.18,1161.34,1.44
102,72,08,1457.13,477.28,1387.18,1.36
108,49,08,2191.03,692.08,2094.25,1.34
98,15,09,1382.61,350.18,1339.46,1.29
15,134,08,2176.0,488.03,2122.92,1.25
99,118,07,1235.04,366.05,1183.7,1.34
100,92,08,1632.73,496.24,1566.28,1.33
91,85,09,1147.77,339.53,1102.79,1.32
17,114,08,1184.65,398.06,1132.28,1.34
1,22,08,1282.14,429.7,1221.02,1.36
2,12,08,1080.91,315.97,1041.36,1.31
101,82,08,1477.75,480.67,1410.17,1.35
96,35,09,1928.53,553.98,1848.9,1.34
105,79,08,772.96,228.93,745.29,1.3
10,3,07,425.85,148.77,403.08,1.41
97,138,07,165.24,172.64,114.68,2.56
108,12,08,1454.28,474.27,1389.42,1.34
89,141,08,1632.92,513.35,1558.03,1.36
30,114,07,2261.34,627.34,2185.83,1.29
106,32,08,1151.78,332.23,1110.14,1.31
8,96,07,1557.96,260.3,1536.12,1.18
9,86,07,1052.5,343.56,1002.1,1.36
31,104,07,2178.49,866.03,2038.98,1.42
104,52,08,2326.84,701.86,2224.38,1.35
26,79,07,1671.29,392.34,1628.82,1.25
24,99,07,1009.77,325.38,965.99,1.34
28,59,07,1429.82,575.17,1334.74,1.43
27,69,07,196.23,168.83,128.24,2.94
29,49,07,1169.74,336.86,1122.08,1.35
25,89,07,1926.2,795.45,1795.76,1.43
49,92,09,1180.29,437.53,1111.52,1.41
64,2,09,1826.21,450.84,1774.9,1.27
135,128,08,1562.19,487.64,1494.14,1.34
136,118,08,1542.38,514.08,1470.03,1.35
36,6,08,1430.39,383.06,1383.42,1.29
134,138,08,1157.28,328.81,1122.92,1.26
128,115,08,1433.3,517.27,1357.62,1.38
126,135,08,898.94,380.11,845.51,1.39
127,125,08,1162.31,398.35,1102.68,1.38
129,105,08,1220.02,399.16,1166.14,1.34
128,7,08,1553.08,374.91,1511.2,1.26
127,119,09,1901.22,525.75,1831.37,1.31
126,129,09,1607.16,514.2,1533.57,1.35
21,32,07,1752.27,567.72,1670.63,1.36
128,109,09,1282.79,558.88,1194.23,1.43
22,22,07,131.3,108.05,95.88,2.22
125,139,09,952.82,366.47,900.75,1.39
20,42,07,1733.73,572.78,1656.32,1.34
79,141,07,1290.2,465.76,1215.92,1.41
23,12,07,742.26,255.43,706.34,1.36
45,8,09,1539.31,477.67,1482.52,1.3
54,117,08,1670.89,511.67,1598.7,1.34
55,107,08,683.08,243.04,650.39,1.35
53,127,08,2249.38,561.01,2180.77,1.28
71,100,09,1530.54,562.49,1455.94,1.36
117,90,09,668.81,280.61,621.7,1.45
118,80,09,1482.82,559.97,1395.26,1.4
119,70,09,1099.75,514.83,1014.14,1.46
12,116,08,2467.73,496.34,2423.44,1.2
13,106,08,929.61,435.55,845.87,1.53
11,126,08,1320.57,573.73,1236.53,1.41
10,136,08,2379.58,648.65,2301.96,1.29
45,4,07,1408.74,441.6,1356.72,1.3
134,39,07,1118.77,356.45,1069.83,1.35
136,19,07,313.24,159.6,288.42,1.45
102,1,08,1472.15,512.64,1393.6,1.39
