sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
76,110,11,1508.77,434.82,1452.33,1.31
9,30,11,968.05,377.71,903.19,1.46
118,100,12,210.46,153.04,160.45,2.35
115,130,12,468.71,252.96,419.29,1.59
114,140,12,1273.02,456.26,1204.79,1.38
20,100,11,800.93,288.89,755.06,1.41
116,120,12,2246.13,652.64,2167.86,1.29
77,130,11,874.12,359.34,824.54,1.38
6,60,11,1377.49,406.91,1331.69,1.28
136,59,11,1343.96,544.84,1257.95,1.42
14,116,10,1869.33,562.96,1793.08,1.33
12,136,10,1709.88,723.35,1591.48,1.44
104,7,11,1359.68,452.67,1295.32,1.35
13,126,10,1477.59,639.09,1366.18,1.48
15,106,10,1893.44,802.28,1790.15,1.36
48,104,12,833.77,414.01,765.88,1.48
47,114,12,266.99,259.97,136.94,3.98
45,134,12,907.39,351.28,853.7,1.4
5,70,11,809.77,433.01,727.72,1.55
46,124,12,1828.9,669.58,1738.92,1.35
18,125,12,449.81,216.45,409.87,1.54
19,115,12,1732.55,636.19,1638.29,1.38
122,4,11,823.37,430.94,741.99,1.54
17,135,12,1390.69,663.99,1278.58,1.47
64,92,11,1251.55,457.9,1179.33,1.4
67,62,11,473.52,209.77,429.95,1.59
66,72,11,901.65,370.5,844.0,1.42
108,84,11,1055.71,493.26,980.17,1.43
68,52,11,1394.29,427.11,1333.75,1.35
128,106,11,1713.88,522.48,1642.38,1.33
65,82,11,709.44,317.9,657.86,1.45
140,17,10,875.75,311.99,835.59,1.34
127,116,11,1350.9,400.46,1298.18,1.32
69,42,11,2047.76,714.05,1938.15,1.38
125,136,11,1168.32,547.14,1086.84,1.43
28,136,12,692.32,359.56,642.99,1.42
29,126,12,1372.36,436.19,1305.67,1.39
4,80,11,513.26,257.4,467.23,1.51
21,25,10,1303.19,317.43,1269.31,1.25
20,35,10,1185.1,391.8,1131.75,1.35
22,15,10,1498.99,413.82,1448.95,1.29
30,127,10,1685.95,638.2,1586.43,1.4
32,107,10,1582.03,459.99,1523.93,1.31
90,10,10,661.53,217.47,636.49,1.3
42,59,12,1124.11,437.58,1066.05,1.35
40,79,12,880.25,309.49,834.14,1.38
109,74,11,1278.48,503.07,1189.55,1.46
128,56,10,1264.46,638.6,1146.52,1.52
125,86,10,1491.04,460.73,1426.7,1.34
127,66,10,1212.19,367.77,1162.32,1.33
129,46,10,1388.67,422.66,1335.24,1.31
34,44,11,1019.33,380.28,960.16,1.4
126,76,10,2137.99,728.03,2036.39,1.35
102,125,12,707.4,409.36,638.77,1.52
5,9,12,660.59,371.62,583.01,1.62
101,135,12,527.86,315.85,482.98,1.47
124,96,10,1449.23,428.96,1388.69,1.34
103,115,12,1256.33,494.25,1184.03,1.41
44,39,12,590.43,257.53,550.65,1.44
35,34,11,581.4,216.86,546.68,1.41
107,94,11,1172.35,418.6,1113.85,1.36
104,105,12,1403.65,513.27,1329.38,1.38
31,74,11,1836.88,990.5,1668.46,1.49
46,19,12,223.02,216.37,143.73,3.17
32,64,11,856.09,291.39,811.71,1.38
126,126,11,231.57,389.51,130.86,2.76
111,5,12,1579.18,577.37,1497.69,1.37
14,122,10,447.18,247.41,403.69,1.52
13,132,10,1372.68,481.09,1300.31,1.39
16,102,10,407.2,223.03,362.63,1.59
36,24,11,865.86,354.45,807.75,1.44
66,23,12,822.11,238.61,791.04,1.32
15,112,10,2174.31,637.16,2078.58,1.36
98,126,12,991.74,371.34,937.12,1.38
62,63,12,1060.3,356.26,1008.06,1.37
97,136,12,1923.97,717.96,1822.57,1.37
61,73,12,1942.45,671.7,1847.19,1.36
31,115,12,1117.82,530.31,1031.16,1.5
33,54,11,1560.34,430.65,1507.84,1.29
