-114.774443,54.333954,"Redi-fast Fixit","33 State Ave T0G 1A0 Fort Assiniboine ab - myLPG.eu"
-114.357984,54.319406,"Neerlandia Co-op","3224 Township rd 615a T0G 1R2 Neerlandia ab - myLPG.eu"
-110.770827,54.271684,"Bonnyville Gas Bar","6020 54th Ave T9N 2M8 Bonnyville ab - myLPG.eu"
-125.7601341,54.2268193,"Superior Propane","Highway 16 w V0J 1E0 Burns Lake bc - myLPG.eu"
-113.848304,54.164553,"Westlock Husky Market","11007 104 Ave T7P 1E6 Westlock ab - myLPG.eu"
-113.12629,54.160702,"Thorhild Gas & Car Wash","802 2nd st T0A 3J0 Thorhild ab - myLPG.eu"
-113.851099,54.154583,"Seoul House","10208 104 Ave T7P 2H6 Westlock ab - myLPG.eu"
-113.661917,54.15157,Petro-canada,"Highway 18 T0G 0P0 Clyde ab - myLPG.eu"
-108.447031,54.132862,"Meadow Lake Gas Bar","710 1st Ave w S9X 1P3 Meadow Lake sk - myLPG.eu"
-115.662828,54.124876,Petro-canada,"3743 Caxton st T7S 1P5 Whitecourt ab - myLPG.eu"
-114.40261645502,54.117483114036,"Barrhead Gas Bar","4907 49b st T7N 1G2 Barrhead ab - myLPG.eu"
-112.484467,54.109345,"Smoky Lake Centex","4329 56 st T0A 3C0 Smoky Lake ab - myLPG.eu"
-112.782737,54.095367,"Metro's Contracting","59234 rr 1 T0A 3P0 Waskatenau ab - myLPG.eu"
-124.012772,54.014174,"Vanderhoof Gas Bar","227 1st st V0J 3A0 Vanderhoof bc - myLPG.eu"
-122.80015,53.996006,"Day & Night Stores","4381 Handlen rd V2K 4P9 Prince George bc - myLPG.eu"
-111.273368,53.991308,"Saint Paul Gas Bar","5005 42nd st T0A 3A2 St. Paul ab - myLPG.eu"
-115.140142,53.950145,"Mayerthorpe Gas & Wash","5012 45th Ave T0E 1N0 Mayerthorpe ab - myLPG.eu"
-113.644102,53.949573,Esso,"Highway 2 & Highway 651 T0G 1L0 Legal ab - myLPG.eu"
-113.111348,53.948955,"Country Boyz Tempo","5024 48 Ave T0A 4J0 Toefield ab - myLPG.eu"
-122.760376,53.94067,Husky,"1746 Hart Hwy V2K 2X6 Prince George bc - myLPG.eu"
-122.782479,53.917397,Husky,"835 Central st w V2M 3C8 Prince George bc - myLPG.eu"
-122.734378,53.916006,"Canadian Propane","675 1st Ave V2L 2Y2 Prince George bc - myLPG.eu"
-110.892541,53.903848,"Wozniak Bulk Fuel Sales","4505 57 Ave T0A 1A0 Elk Point ab - myLPG.eu"
-122.769781,53.884405,Husky,"2511 Range rd V2N 4G8 Prince George bc - myLPG.eu"
-122.80196123859,53.860098209714,"Four Rivers Co-op Gas Bar - Westgate","6749 Westgate Ave V2N 5T8 Prince George bc - myLPG.eu"
-122.815288,53.858291,"Bon Voyage Gas & Grocery","4488 Highway 16 w V2N 5N7 Prince George bc - myLPG.eu"
-107.036668,53.839761,"Big River Gas Bar","400 Hoehn rd S0J 0E0 Big River sk - myLPG.eu"
-101.249741,53.818873,"Michael's Corner Store","702 Gordon Ave R9A 1K5 The Pas mb - myLPG.eu"
-122.913104,53.8167,Petro-canada,"11480 Carmel dr V2N 5B8 Prince George bc - myLPG.eu"
-113.644389,53.795372,Husky,"9503 100th st T8R 1R2 Morinville ab - myLPG.eu"
-114.349541,53.733694,Esso,"Highway 43 n T0E 1A0 Gunn ab - myLPG.eu"
-113.648801,53.715865,"Al-razzaq Food & Gas","25415 Highway 37 T8T 0C6 Sturgeon County ab - myLPG.eu"
-111.746556,53.714862,"Two Hills Fast Gas","Highway 36 & Highway 45 T0B 4K0 Two Hills ab - myLPG.eu"
-113.217313,53.692676,"Fort Saskatchewan Gas Bar","9284 Southfort dr T8L 0C5 Fort Saskatchewan ab - myLPG.eu"
-114.591967,53.670452,"Darwell Trading Post","5002 Highway 633 T0E 0L0 Darwell ab - myLPG.eu"
-109.20157,53.635576,"C&l Service Centre","71 1st st e S0M 1H0 Lashburn sk - myLPG.eu"
-113.615674,53.624722,"Saint Albert Trail Husky","192 Saint Albert Trail T8N 0P7 St. Albert ab - myLPG.eu"
-115.769767,53.617866,Esso,"Highway 16 w & Niton Junction T0E 1S0 Niton Junction ab - myLPG.eu"
-112.33592,53.595303,Esso,"5321 Sawchuk st T0B 3H0 Mundare ab - myLPG.eu"
-110.524617,53.587685,"Ken's Auto & Diesel","99 Center st T0B 1G0 Dewberry ab - myLPG.eu"
-113.466922,53.585239,"Edmonton Gas Bar - Delton","12705 82nd st T5E 2S9 Edmonton ab - myLPG.eu"
-116.427608,53.582766,"Timberjack Home Hardware Building Centre","4840 2nd Ave T7E 1T6 Edson ab - myLPG.eu"
-113.4087987,53.5701755,"Niagara Car Wash","4315 118th Ave T5W 1A5 Edmonton ab - myLPG.eu"
-113.318181,53.567264,"Flying j","50 Pembina rd T8H 2G9 Sherwood Park ab - myLPG.eu"
-113.765788,53.563485,"Edmonton West Husky Travel Centre","26304 Township rd 531a T7X 5A3 Acheson ab - myLPG.eu"
-113.503446,53.551588,"Churchill Husky","10608 107th Ave T5H 0W4 Edmonton ab - myLPG.eu"
-113.475736,53.548509,"Riverview Husky","9208 Jasper Ave nw T5H 3T4 Edmonton ab - myLPG.eu"
-113.884134,53.543465,"Spruce Grove Gas Bar","120 Century Crossing T7X 0C0 Spruce Grove ab - myLPG.eu"
-113.536486,53.542813,Esso,"12415 102 Ave T5N 0M2 Edmonton ab - myLPG.eu"
-113.6379464,53.5329835,"Primrose Husky","9774 182th st T5T 3T9 Edmonton ab - myLPG.eu"
-114.005224,53.531564,"Stony Plain Gas Bar","4907 49th Ave T7Z 1W6 Stony Plain ab - myLPG.eu"
-113.097623,53.512485,Esso,"52403 Range rd 220 T8E 2H7 Ardrossan ab - myLPG.eu"
-112.045262,53.492659,Petro-canada,"4744 50 Ave T9C 1S1 Vegreville ab - myLPG.eu"
-112.059575,53.492013,"Vegreville Gas Bar","4906 51st st T9C 1R4 Vegreville ab - myLPG.eu"
-113.369764459,53.467791944714,"Edmonton Gas Bar - Silverberry","1712 34th Ave nw T6T 0N9 Edmonton ab - myLPG.eu"
-113.43404,53.458981,"Centex Millwoods","2831 66 st nw T6L 6N3 Edmonton ab - myLPG.eu"
-113.478747,53.426802,"Hughes Petroleum Ltd","721 Parsons rd T6X 0N9 Edmonton ab - myLPG.eu"
-117.554963,53.408023,Esso,"438 Smith st T7V 2A1 Hinton ab - myLPG.eu"
-112.810977,53.396265,"Countryside Service","20002 Township rd 512 T0B 4J1 Beaver County ab - myLPG.eu"
-117.600231,53.395543,"Hinton Husky","471 Gregg Ave T7V 1N1 Hinton AB - myLPG.eu"
