sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
23,74,10,1811.35,455.79,1759.56,1.27
25,54,10,1303.65,414.46,1242.11,1.36
85,46,12,584.09,200.91,556.22,1.36
37,91,11,861.8,234.92,832.06,1.3
52,1,11,1270.15,349.77,1227.99,1.29
38,81,11,930.81,343.45,878.13,1.39
39,71,11,604.75,215.33,576.38,1.35
88,124,10,371.5,207.62,327.06,1.68
87,134,10,1776.68,406.09,1733.67,1.24
89,114,10,741.62,244.07,709.78,1.33
115,101,10,443.61,272.23,386.2,1.64
113,121,10,1929.59,623.34,1844.78,1.34
111,141,10,1797.3,513.32,1732.07,1.31
114,111,10,464.08,273.98,402.98,1.75
112,131,10,660.74,217.21,632.47,1.33
41,13,11,1269.24,345.85,1229.81,1.28
40,23,11,1432.02,345.99,1392.68,1.26
80,96,12,1580.74,367.49,1540.3,1.25
48,140,10,1611.4,492.17,1537.5,1.36
49,130,10,775.12,296.36,731.49,1.38
1,9,12,2077.31,449.77,2035.08,1.22
91,23,10,1473.41,332.98,1437.65,1.25
90,33,10,1858.66,639.52,1765.0,1.37
92,13,10,1544.9,579.73,1463.94,1.37
89,5,10,1847.23,536.62,1774.96,1.32
103,5,10,1543.73,389.15,1503.59,1.25
120,30,11,660.77,264.86,617.51,1.44
121,20,11,1843.7,495.82,1782.71,1.29
5,124,10,923.66,335.85,876.26,1.37
11,64,10,1299.22,421.69,1239.17,1.35
16,14,10,1001.81,357.02,945.37,1.4
141,90,12,1226.43,401.34,1172.23,1.34
13,44,10,1145.69,406.41,1084.63,1.38
122,10,11,1341.47,381.5,1297.82,1.28
15,24,10,1198.35,352.85,1154.28,1.31
42,56,12,847.8,488.48,783.92,1.43
41,66,12,997.93,310.89,956.07,1.33
44,36,12,182.45,114.22,150.7,1.97
12,54,10,614.36,221.4,581.0,1.39
45,26,12,924.67,254.61,892.84,1.3
7,104,10,1288.97,275.81,1261.55,1.23
40,76,12,796.29,238.02,764.78,1.32
14,34,10,1466.34,492.9,1399.25,1.35
43,46,12,1344.2,452.5,1277.98,1.36
4,134,10,2115.07,382.81,2080.56,1.2
40,12,12,1814.25,483.54,1762.75,1.26
127,57,12,1080.68,338.15,1038.0,1.32
128,47,12,2051.48,598.54,1973.19,1.32
129,37,12,1669.77,304.92,1642.71,1.2
6,114,10,1615.0,545.68,1543.42,1.33
124,87,12,1772.36,444.62,1720.11,1.28
17,106,10,425.93,173.29,396.1,1.48
15,126,10,1469.91,325.18,1437.95,1.23
112,33,11,733.79,227.07,702.4,1.34
14,136,10,1788.88,764.34,1654.33,1.47
113,23,11,560.32,238.87,518.74,1.47
31,114,12,704.82,232.89,677.52,1.3
114,13,11,815.37,303.99,770.29,1.38
30,124,12,1245.5,356.42,1202.56,1.29
46,16,12,2213.09,417.64,2177.68,1.19
111,43,11,1835.83,511.06,1766.29,1.32
125,77,12,791.88,317.82,747.84,1.38
32,104,12,2107.38,578.09,2038.48,1.29
123,97,12,1349.83,377.22,1311.61,1.25
78,76,11,971.15,287.58,933.42,1.32
77,86,11,501.0,236.64,466.67,1.42
32,77,10,1255.2,360.14,1212.93,1.29
34,57,10,817.28,277.04,778.73,1.35
33,67,10,632.99,238.28,594.71,1.42
76,96,11,1488.52,406.17,1436.2,1.3
126,67,12,1404.16,362.76,1359.88,1.29
38,17,10,1444.6,291.71,1416.79,1.22
79,66,11,1501.79,266.83,1478.36,1.19
130,111,12,704.52,285.98,656.41,1.46
35,47,10,1168.2,421.33,1100.37,1.41
131,101,12,1254.3,400.22,1199.11,1.34
31,87,10,1865.2,646.02,1762.85,1.4
113,6,11,1695.31,386.57,1656.85,1.23
30,97,10,1481.74,390.86,1440.42,1.26
39,9,10,1677.09,416.07,1630.83,1.26
86,100,12,388.21,200.19,349.56,1.57
83,130,12,1244.89,394.37,1188.61,1.35
82,140,12,832.9,232.82,803.69,1.3
