sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
17,43,03,1478.06,317.28,1447.28,1.22
44,74,03,700.03,182.93,676.88,1.3
47,44,03,873.32,373.37,815.4,1.42
46,54,03,1341.31,246.7,1320.03,1.19
93,107,02,1807.12,434.9,1760.04,1.25
92,117,02,1300.43,320.63,1268.67,1.24
61,109,03,386.36,181.47,348.97,1.6
141,74,02,1726.03,488.22,1662.3,1.31
140,84,02,716.58,201.45,692.02,1.29
48,34,03,1153.21,273.37,1122.24,1.26
60,119,03,1177.96,285.05,1145.81,1.26
90,137,02,690.09,242.88,654.91,1.37
42,94,03,320.73,170.78,294.17,1.48
108,121,02,667.16,298.06,633.71,1.33
106,141,02,1503.2,457.66,1444.57,1.32
12,137,01,1456.07,583.86,1374.8,1.37
14,117,01,1048.26,354.7,1000.02,1.35
49,24,03,232.53,223.95,183.57,1.97
107,131,02,958.58,260.33,926.4,1.29
79,140,03,1125.53,295.26,1089.45,1.29
13,127,01,641.88,245.0,605.77,1.38
91,127,02,229.92,117.06,201.68,1.73
109,111,02,949.89,347.43,902.57,1.36
45,64,03,535.11,216.63,499.91,1.43
52,85,01,412.55,204.54,370.76,1.59
99,105,03,1747.35,282.98,1726.33,1.17
97,125,03,787.98,245.78,760.76,1.28
98,115,03,905.23,278.96,874.85,1.28
122,5,01,155.68,145.5,120.9,1.89
107,95,01,1853.72,491.69,1804.09,1.25
64,93,01,1108.48,347.14,1061.69,1.34
67,63,01,813.37,271.81,779.52,1.32
65,83,01,1581.87,402.47,1536.78,1.27
108,85,01,731.86,257.66,707.75,1.27
69,43,01,132.98,95.59,104.9,2.17
7,15,03,244.55,156.08,194.84,2.2
6,25,03,393.84,240.86,348.57,1.59
66,73,01,706.37,278.19,667.66,1.37
2,65,03,640.93,250.13,600.05,1.44
109,75,01,832.68,337.05,776.42,1.44
5,35,03,1344.74,384.58,1292.99,1.32
1,75,03,1261.51,314.46,1226.37,1.26
28,137,02,1096.64,338.05,1058.37,1.28
107,1,01,203.29,139.28,158.72,2.27
4,45,03,1280.74,451.48,1219.91,1.35
36,1,03,576.19,221.06,540.6,1.43
65,53,03,501.9,174.5,474.21,1.42
68,23,03,1900.72,380.0,1863.74,1.22
61,93,03,1641.9,395.16,1600.09,1.25
69,13,03,1440.94,323.9,1407.78,1.24
106,102,02,830.96,298.57,790.07,1.37
104,122,02,1135.85,324.24,1093.44,1.32
105,112,02,1231.11,548.8,1160.1,1.36
62,83,03,190.4,101.73,166.76,1.75
63,73,03,372.8,174.15,342.92,1.49
15,2,01,462.2,225.78,398.41,1.87
67,33,03,577.3,195.38,548.23,1.37
66,43,03,1525.35,189.37,1513.18,1.14
64,63,03,1513.22,413.59,1464.19,1.28
13,130,02,1096.93,364.8,1050.28,1.32
16,100,02,1404.47,385.19,1357.52,1.29
14,120,02,826.67,243.27,796.37,1.31
12,140,02,1253.69,319.63,1218.98,1.26
125,73,02,597.38,260.22,555.19,1.45
126,63,02,1764.0,613.69,1681.7,1.34
36,38,01,1688.35,502.35,1622.31,1.32
128,43,02,615.3,178.17,593.12,1.31
31,88,01,1470.64,692.02,1377.08,1.38
127,53,02,1715.31,379.28,1676.88,1.23
34,58,01,1185.86,444.36,1123.81,1.37
33,129,03,196.43,134.8,152.61,2.26
34,119,03,927.35,310.71,892.17,1.3
129,33,02,219.66,141.68,173.39,2.26
35,48,01,1970.17,571.0,1897.37,1.31
35,109,03,1743.87,481.46,1685.67,1.29
123,93,02,1145.41,379.11,1090.07,1.37
32,78,01,586.39,242.29,544.89,1.46
63,125,03,960.96,235.4,936.4,1.25
64,115,03,791.16,235.8,761.82,1.31
82,18,03,485.88,156.57,465.48,1.33
124,83,02,1063.21,321.9,1021.74,1.32
30,98,01,1795.43,535.75,1731.21,1.3
106,95,01,1514.11,393.03,1468.74,1.27
62,135,03,1532.64,209.32,1518.7,1.14
108,75,01,1456.28,517.3,1381.33,1.37
81,28,03,577.09,298.49,545.76,1.34
107,85,01,1752.67,424.14,1704.83,1.26
32,139,03,1242.54,288.28,1213.16,1.24
98,20,02,2272.84,435.42,2231.04,1.21
97,30,02,1574.63,385.29,1528.96,1.28
109,65,01,1059.43,392.33,1000.39,1.39
94,60,02,2037.43,570.07,1967.35,1.29
80,38,03,1614.74,390.39,1568.56,1.27
93,70,02,1195.48,412.12,1135.02,1.37
19,99,03,1564.38,385.37,1524.84,1.24
34,9,03,1262.79,240.43,1237.44,1.23
65,105,03,1577.7,812.61,1481.66,1.36
4,80,02,466.16,221.35,429.21,1.47
9,30,02,878.1,312.08,828.39,1.4
7,50,02,432.44,171.05,406.39,1.41
32,114,03,1655.95,339.18,1624.83,1.21
3,90,02,871.58,333.37,834.2,1.31
33,121,02,1189.18,342.0,1148.24,1.29
34,111,02,688.55,246.31,652.26,1.38
5,70,02,656.59,252.45,621.58,1.37
31,141,02,965.73,309.94,925.31,1.33
35,101,02,1647.49,429.13,1600.55,1.26
6,60,02,1196.71,227.74,1176.49,1.2
33,68,01,1286.21,320.69,1251.45,1.26
92,80,02,1872.76,340.83,1840.3,1.21
83,111,02,766.22,238.06,735.33,1.33
80,141,02,1017.43,347.64,966.71,1.37
81,131,02,925.42,307.14,889.27,1.3
62,92,02,1442.41,324.81,1408.57,1.24
65,62,02,1266.45,348.65,1221.55,1.31
84,101,02,1212.39,227.72,1191.55,1.2
64,72,02,996.03,312.18,953.21,1.34
63,82,02,1681.89,361.96,1643.89,1.24
31,124,03,1198.49,635.91,1093.85,1.5
32,131,02,1567.5,351.11,1535.59,1.22
67,42,02,475.71,179.3,449.57,1.4
82,121,02,1385.95,353.85,1347.5,1.26
37,28,01,1152.95,267.44,1127.65,1.22
66,52,02,1063.88,298.17,1028.75,1.29
94,136,01,1073.09,346.06,1026.73,1.33
97,106,01,932.56,374.18,885.99,1.34
81,87,02,1435.49,438.48,1373.41,1.34
88,17,02,917.27,270.16,882.06,1.32
87,27,02,899.76,249.69,869.44,1.29
38,18,01,1231.12,327.75,1194.61,1.27
84,57,02,998.72,330.34,956.25,1.33
38,95,02,1475.51,478.84,1414.0,1.32
53,5,02,704.11,228.64,672.33,1.35
91,90,02,1519.58,350.34,1484.81,1.23
39,85,02,1582.96,363.47,1542.49,1.26
41,46,01,755.14,217.85,728.45,1.3
40,56,01,1073.8,399.0,1021.59,1.35
43,26,01,1231.36,350.29,1188.29,1.3
68,32,02,2006.24,392.25,1969.1,1.21
42,36,01,676.85,223.45,648.88,1.32
83,67,02,207.03,130.51,175.13,1.83
44,16,01,1146.07,337.85,1095.71,1.38
95,126,01,1532.79,449.71,1477.91,1.3
121,5,01,1507.29,545.58,1436.09,1.34
3,12,03,1577.07,285.95,1552.39,1.19
85,47,02,1398.99,433.5,1338.49,1.34
104,6,02,910.2,277.11,877.5,1.3
2,22,03,1272.08,388.07,1226.94,1.29
11,9,03,1109.65,252.87,1085.59,1.22
1,32,03,1642.74,454.65,1586.42,1.3
30,134,03,1563.95,361.41,1525.97,1.25
69,22,02,1163.23,353.13,1116.76,1.32
82,77,02,751.43,274.22,716.34,1.34
86,37,02,1436.54,354.83,1394.43,1.27
33,104,03,1879.13,411.39,1839.07,1.23
118,118,03,155.08,176.72,100.85,2.5
117,128,03,1654.22,443.31,1601.41,1.28
36,124,03,484.5,191.93,454.8,1.41
38,104,03,1078.68,194.93,1060.72,1.2
37,114,03,1316.94,185.32,1305.26,1.14
38,82,01,1088.76,314.61,1050.92,1.29
39,72,01,1057.48,463.88,1000.6,1.36
52,2,01,1299.78,289.59,1271.31,1.23
119,108,03,1498.63,364.38,1461.23,1.24
99,10,02,967.99,183.19,953.23,1.19
20,10,03,2017.93,380.25,1981.96,1.21
40,24,01,950.86,307.68,910.83,1.33
41,14,01,1519.77,481.3,1458.74,1.32
56,132,03,930.58,251.94,900.09,1.29
57,122,03,692.95,244.35,664.1,1.31
59,102,03,921.6,431.21,861.98,1.41
58,112,03,1049.1,297.91,1008.44,1.32
4,100,02,937.26,348.97,885.61,1.38
13,10,02,1857.65,547.47,1791.82,1.29
2,120,02,1375.42,312.68,1342.86,1.24
1,130,02,1095.69,336.15,1048.68,1.34
120,31,01,1601.44,378.67,1565.29,1.23
122,11,01,1570.61,463.93,1511.13,1.31
121,21,01,2087.51,948.31,1955.2,1.39
141,91,02,1235.14,422.36,1179.37,1.34
9,130,01,1731.1,677.15,1640.79,1.35
15,70,01,804.33,306.12,756.62,1.41
20,20,02,195.43,181.48,144.75,2.19
21,10,02,1190.58,225.81,1170.76,1.2
16,60,01,1331.96,404.55,1284.38,1.29
45,27,02,1374.3,439.0,1316.79,1.33
41,67,02,776.49,225.23,748.0,1.31
40,77,02,1400.51,423.24,1348.02,1.3
44,37,02,1479.02,358.89,1441.36,1.25
12,20,02,652.42,208.1,623.71,1.35
46,17,02,1646.32,293.61,1622.0,1.19
14,80,01,1479.0,438.47,1423.39,1.31
42,57,02,377.47,149.78,360.27,1.32
11,30,02,1588.88,439.4,1538.19,1.28
13,90,01,1167.47,395.8,1115.98,1.37
18,40,01,1213.81,356.31,1170.13,1.3
40,13,02,796.27,293.82,752.03,1.39
125,78,02,701.37,223.19,670.56,1.35
123,98,02,1520.41,306.65,1493.65,1.2
124,88,02,303.31,201.05,245.84,1.96
53,41,03,1521.3,300.92,1492.23,1.22
56,11,03,359.24,169.55,337.93,1.38
50,71,03,1089.57,273.43,1062.35,1.24
127,58,02,773.95,299.44,720.67,1.46
112,34,01,1092.62,316.49,1052.35,1.31
54,31,03,1688.33,447.05,1643.53,1.24
113,24,01,1092.84,369.68,1045.9,1.33
31,115,02,991.98,374.68,938.82,1.41
32,105,02,1768.09,524.15,1710.61,1.28
58,130,02,980.78,326.73,936.49,1.34
30,125,02,1255.91,351.03,1215.1,1.28
59,120,02,622.3,168.66,603.65,1.27
114,14,01,1535.59,514.75,1463.7,1.35
129,38,02,1540.33,395.33,1495.35,1.27
57,140,02,853.31,312.77,802.85,1.43
111,44,01,546.72,274.47,492.26,1.59
52,51,03,1223.14,273.63,1194.35,1.24
126,68,02,1084.57,443.56,1023.1,1.37
79,67,01,861.64,314.97,820.28,1.34
78,77,01,1083.6,390.15,1023.51,1.43
77,87,01,963.31,410.39,899.01,1.43
55,21,03,1568.73,274.01,1545.15,1.19
128,48,02,554.44,203.2,528.56,1.34
130,112,02,1618.56,385.98,1575.05,1.26
131,102,02,1579.33,480.5,1515.93,1.32
19,30,01,971.15,325.56,926.87,1.34
113,7,01,1668.94,411.4,1623.93,1.26
110,51,03,184.35,119.83,156.44,1.83
114,11,03,644.16,284.44,605.09,1.39
111,41,03,1233.96,353.91,1189.9,1.3
85,111,02,1215.54,390.5,1162.55,1.35
82,141,02,714.37,240.79,680.32,1.36
83,131,02,783.58,302.87,746.75,1.34
113,21,03,994.53,259.4,965.69,1.27
86,101,02,900.8,316.85,857.75,1.35
112,31,03,677.61,257.2,643.26,1.35
84,121,02,420.9,194.12,383.63,1.54
100,71,02,1208.63,308.16,1174.69,1.26
101,61,02,567.31,215.1,529.97,1.46
104,31,02,1697.13,505.09,1631.4,1.31
102,51,02,1439.91,457.54,1381.76,1.32
1,101,03,1079.64,321.21,1038.7,1.31
10,11,03,1766.76,409.54,1732.96,1.2
106,11,02,544.59,229.63,514.25,1.37
17,6,03,1178.57,423.29,1132.17,1.29
84,121,03,419.08,201.72,376.25,1.61
83,131,03,778.32,201.52,753.98,1.28
83,47,03,1108.43,327.52,1062.86,1.33
86,17,03,1338.37,454.32,1285.1,1.3
84,37,03,1081.24,235.75,1056.42,1.24
86,101,03,809.05,242.87,781.81,1.28
85,27,03,1278.89,281.72,1250.2,1.23
85,111,03,1216.12,351.74,1170.71,1.31
119,73,01,1277.54,365.97,1231.97,1.3
27,122,01,250.64,215.67,159.64,3.17
26,132,01,1129.09,313.0,1091.46,1.29
117,93,01,1897.04,448.97,1848.21,1.25
82,141,03,656.13,257.68,623.32,1.37
106,98,01,1150.19,360.6,1105.0,1.31
109,68,01,1312.62,520.04,1230.1,1.41
107,88,01,1022.46,361.38,972.73,1.35
118,83,01,1342.41,345.55,1304.02,1.26
28,112,01,696.1,219.3,667.5,1.32
108,78,01,1745.04,677.8,1661.42,1.33
121,8,01,1565.68,319.84,1537.97,1.2
81,67,03,1061.8,302.78,1027.34,1.28
29,102,01,1539.96,345.09,1501.63,1.25
80,77,03,1242.88,308.77,1210.43,1.25
22,87,02,1785.36,524.85,1714.18,1.33
25,57,02,596.31,297.85,536.52,1.58
21,97,02,1505.87,307.03,1475.17,1.23
26,47,02,1455.44,357.56,1414.94,1.26
28,27,02,1436.91,409.83,1388.85,1.28
82,57,03,1063.77,292.25,1031.83,1.27
20,2,01,1051.4,279.5,1019.07,1.28
88,139,02,904.67,342.25,850.21,1.41
89,129,02,1037.14,270.2,1004.38,1.29
23,77,02,1184.89,302.52,1151.43,1.26
89,94,01,335.81,204.9,288.74,1.78
78,81,03,1226.66,327.12,1191.87,1.26
24,67,02,1231.85,389.28,1184.42,1.31
92,1,03,515.5,212.3,487.22,1.38
79,71,03,1139.79,220.18,1120.89,1.2
27,37,02,1655.86,277.78,1633.9,1.18
12,109,02,1141.45,372.46,1092.66,1.33
126,100,03,810.77,299.03,767.5,1.37
122,140,03,1533.94,667.19,1459.92,1.31
11,119,02,1285.82,352.15,1244.84,1.28
